,amines_Phenylethylamine,amines_Putrescine,amino-acids_Glycyl-LGlutamicAcid,amino-acids_L-Arginine,amino-acids_L-Asparagine,amino-acids_L-Serine,amino-acids_L-Threonine,amino-acids_LPhenylalanine,amino-acids_gamma-AminoButyricAcid,carbohydrates_Beta-Methyl-DGlucoside,"carbohydrates_D,L-alphaGlycerolPhosphate",carbohydrates_D-Cellobiose,carbohydrates_D-GalactonicAcidgamma-Lactone,carbohydrates_D-Mannitol,carbohydrates_D-Xylose,carbohydrates_Glucose-1-Phosphate,carbohydrates_N-Acetyl-DGlucosamine,carbohydrates_alpha-D-Lactose,carbohydrates_i-Erythritol,carboxylicacids_D-MalicAcid,carboxylicacids_DGalacturonicAcid,carboxylicacids_DGlucosaminicAcid,carboxylicacids_ItaconicAcid,carboxylicacids_PyruvicAcidMethylEster,carboxylicacids_alpha-KetoButyricAcid,phenoliccompound_2-HydroxyBenzoicAcid,phenoliccompound_4-HydroxyBenzoicAcid,polymers_Glycogen,polymers_Tween40,polymers_Tween80,polymers_alpha-Cyclodextrin
A_d3_t15_1,1.571333333,1.001666667,0.446333333,2.115333333,2.084,0.142,2.095333333,1.666,1.598666667,0.322333333,0,0.092666667,0.464666667,1.961333333,0,0.008333333,0.823333333,0.02,0.010333333,0.987,1.826666667,0.128333333,1.986666667,1.825,1.575666667,0,1.468666667,0.033666667,2.035333333,1.774,0.022333333
A_d3_t15_2,1.784666667,1.364666667,1.175666667,2.540666667,2.085,0.295,0.108666667,1.758666667,2.072,0.000333333,0.070666667,0.047,1.145,2.848333333,0.055333333,0.003333333,0.858,0,0.014333333,0.639333333,2.593,0.598333333,2.05,1.801666667,1.270666667,0,1.799333333,0.02,1.962666667,1.624333333,0.025
A_d3_t15_3,1.490333333,1.124333333,0.715,0.644,2.314333333,0.552,1.083333333,1.731333333,1.446333333,0,0,0.097,0.001333333,2.122,0,0.002333333,1.131,0,0.011666666,0.635,1.122,0.153888889,2.076,2.096,1.166666667,0,1.663333333,0.019,2.265666667,1.773666667,0.023666667
A_d3_t15_4,1.297,1.023888889,0.348666666,1.403,1.835666666,0.511,0.810666666,1.888,2.295666666,0.01,0.004888889,0.157,0.497333333,1.725222222,0,0,1.587333333,0.029777778,0.045,0.565666666,2.942666666,0.072666666,1.874333333,1.811333333,1.219333333,0,1.986666666,0.022,2.596,1.879333333,0
A_d3_t1_1,1.884333334,1.713,0.522666667,1.939,2.216333334,1.491666667,1.091666667,1.288,1.559,0.003222222,0.004111111,0.746,0.711666667,1.925333334,0.611666667,0.035,2.142666667,0.150555556,0.019,1.338333334,1.367333334,0.027333334,1.58,1.807666667,1.387,0,1.031666667,0.011333334,2.351666667,1.878,0.036444445
A_d3_t1_2,1.331333333,0.406555555,0.510666666,0.903222222,2.190333333,0.333666666,0.613333333,2.273333333,2.151666666,0,0.409888889,0.203666666,0.600666666,2.736666666,0.784333333,0.049555555,1.541333333,0.555444444,0.022,1.513666666,1.592666666,1.461333333,1.960333333,2.213333333,1.836,0,2.144666666,0.003222222,2.214,1.929333333,0.295222222
A_d3_t1_3,0.885,1.17,0.821,1.110666667,2.293333333,0.078,1.489666667,1.886666667,1.822,0.041666667,0.003333333,0.100333333,0.992666667,1.731666667,0.104333333,0.075666667,1.269666667,0.353333333,0.029666667,1.052,1.741666667,0.470666667,1.368666667,1.8,1.369333333,0,1.25,0.015333333,2.205333333,1.825,0.089666667
A_d3_t1_4,0.789666667,1.176333333,0.648333333,1.691666667,2.411,0.761,1.16,2.422666667,1.335666667,0.105444445,0.004333333,0.286666667,0.457,2.214666667,0.308666667,0.001222222,1.312,0.766333333,0.016333334,0.973333333,1.583,1.777333333,2.157,2.028333333,1.140333333,0,1.778,0.019333333,2.087,1.772666667,0.018333333
A_d3_t30_1,1.947666666,1.333666666,0.213333333,2.128333333,2.224333333,0.561,1.015666666,0.971666666,2.542666666,0.069888889,0.345666666,0.723666666,0.879666666,1.384,1.015333333,0,0.984333333,0.050444445,0.083222222,1.521333333,1.497,0.216222222,1.956,1.793666667,0.659,0.079555555,1.853666666,0,2.361333333,1.89,0.018555555
A_d3_t30_2,2.065666667,1.665,0.214333334,2.206,2.259,1.221,1.061666667,1.553666667,2.614666667,0.018111111,0.475666667,0.735666667,0.303444445,2.166666667,0.933333334,0,1.007,0,0,0.795666667,1.356,0.768111111,1.911,1.667666666,0.670333334,0,1.895666667,0,2.239666667,2.008,0.000555556
A_d3_t30_3,2.030333333,1.562666667,0.265,2.321,2.123666666,0.490666666,0.981,1.290333333,2.478333333,0,0.152555555,0.843888889,0.222777778,1.960666667,0.220111111,0,0.402333333,0.018666667,0,0.811333333,1.463666666,0.037888889,2.021,1.753,0.834,0.097888889,1.911666667,0,1.722,1.869,0
A_d3_t30_4,2.046,1.513333334,0.204333334,2.253,2.365333333,1.386333333,1.257666667,1.157,2.502666667,0.008,0.007,0.979,1.304333333,1.982,0.572,0.013333333,1.862666667,0.024666667,0,1.746333333,1.547333333,2.263333333,1.950666667,1.751,0.85,0.029,1.800666667,0.003888889,1.820333333,1.762,0.016
A_d3_t5_1,1.800666666,1.113666666,0.468333333,2.438666666,2.216666666,0.29,0.961333333,1.465333333,2.313333333,0.372555555,0.001333333,0.957333333,0.504333333,1.829,0.603666666,0.013777778,1.314333333,0.004222222,0.164333333,1.046,2.070333333,0.020555555,1.661,1.785,0.976333333,0,1.211333333,0.020333333,2.095,1.93,0.158
A_d3_t5_2,2.143333333,1.822666667,0.374,2.436333333,2.224333333,0.519666667,1.326,2.318333333,2.509666667,0.477333333,0,0.710666667,0.440666667,1.783,0.304333333,0,1.286666667,0.114666667,0.003666667,1.058666667,1.762333333,0.638,1.988666667,1.969666667,0.98,0,1.826666667,0.020666667,2.252666667,1.672666667,0.042333333
A_d3_t5_3,2.069,1.775,0.398666667,1.810333333,2.233666667,0.676333333,2.011333333,1.746,2.428666667,0.225333333,0.000666667,0.671666667,0.583333333,2.220333333,0.011,0.009,1.273666667,0.056333333,0.007,1.902666667,1.637,1.638666667,1.923,1.933,1.041333333,0,1.902666667,0.015333333,2.132,2.324333333,0.029666667
A_d3_t5_4,2.144333333,1.761666667,0.808666667,2.288666667,2.127666667,0.205666667,2.042,1.971,2.265666667,0.409,0,1.005666667,0.426666667,0.935,0.639333333,0,1.615333333,0.474,0.033333333,0.807666667,1.809,0.937,1.963,1.962333333,1.054666667,0,2.007666667,0.018666667,2.164333333,1.857333333,0.016
AxB_d3_t15_1,2.031666667,1.552666667,0.243333334,1.940333334,2.37,0.933333334,2.208666667,1.391,2.158666667,1.35,0.349333334,1.972333334,0.542666667,1.680333334,0.702333334,0.018777778,1.574666667,0.343,0.162,1.577666667,1.669666667,1.337333334,1.452666667,1.813666667,0.964333334,0.196666667,1.727,0.792,2.251666667,1.598,0.657
AxB_d3_t15_2,1.750333334,0.565444445,0.225,1.799666667,2.311333334,1.537666667,0.939333334,1.313666667,1.626666667,0.902666667,0.310444445,1.827,0.209111111,2.115333334,0.538,0.008888889,1.307333334,0.553333334,0.126666667,1.544,1.608666667,0.786,0.195666667,1.690333334,0.628333334,0.206333334,1.250666667,1.015333334,2.366,1.721666667,0.002888889
