"","amines_Phenylethylamine","amines_Putrescine","amino-acids_Glycyl-LGlutamicAcid","amino-acids_L-Arginine","amino-acids_L-Asparagine","amino-acids_L-Serine","amino-acids_L-Threonine","amino-acids_LPhenylalanine","amino-acids_gamma-AminoButyricAcid","carbohydrates_Beta-Methyl-DGlucoside","carbohydrates_D,L-alphaGlycerolPhosphate","carbohydrates_D-Cellobiose","carbohydrates_D-GalactonicAcidgamma-Lactone","carbohydrates_D-Mannitol","carbohydrates_D-Xylose","carbohydrates_Glucose-1-Phosphate","carbohydrates_N-Acetyl-DGlucosamine","carbohydrates_alpha-D-Lactose","carbohydrates_i-Erythritol","carboxylicacids_D-MalicAcid","carboxylicacids_DGalacturonicAcid","carboxylicacids_DGlucosaminicAcid","carboxylicacids_ItaconicAcid","carboxylicacids_PyruvicAcidMethylEster","carboxylicacids_alpha-KetoButyricAcid","phenoliccompound_2-HydroxyBenzoicAcid","phenoliccompound_4-HydroxyBenzoicAcid","polymers_Glycogen","polymers_Tween40","polymers_Tween80","polymers_alpha-Cyclodextrin"
"A_d5_t15_1",0.641666666666667,1.65833333333333,0.986666666666667,1.96399999966667,1.98066666666667,1.764,0.811,1.82866666666667,1.94733333333333,0.026,0.182666666666667,1.23133333333333,1.002,2.08233333333333,1.945,0.00277777766666667,1.818,0.564,0.0187777776666667,1.863,2.04766666666667,1.54333333333333,0.981333333333333,1.94633333333333,1.076,0.4,1.578,1.175,2.16366666666667,2.65366666666667,0.453
"A_d5_t15_2",0.989333333,1.61866666633333,0.752999999666667,1.952666667,2.102333333,1.83966666633333,0.171222222,1.72266666633333,2.15999999966667,0.555333333,0.262666666333333,1.05966666633333,1.11066666633333,2.079333333,1.907333333,0.00255555566666667,1.931333333,1.13566666633333,0,1.882333333,1.93866666633333,1.930333333,1.13166666633333,1.775333333,1.02566666633333,1.17099999966667,1.68066666633333,0.979333333,2.376333333,2.77066666633333,0.052333333
"A_d5_t15_3",1.26933333366667,1.64600000033333,1.04100000033333,1.97433333366667,2.01033333366667,1.93533333366667,0.414000000333333,1.68933333366667,2.21033333366667,0.0363333336666667,0.308000000333333,1.212666667,1.06800000033333,2.40033333366667,1.82933333366667,0,1.72500000033333,0.312666667,0,1.94333333366667,1.97500000033333,1.92433333366667,0.710333333666667,1.571666667,0.968666667,0.104555555666667,1.59900000033333,0.254666667,2.39633333366667,2.23200000033333,0.272000000333333
"A_d5_t15_4",1.12600000033333,1.480666667,0.839666667,1.95666666666667,2.055666667,1.85533333333333,0.490000000333333,1.79333333333333,2.05700000033333,0.0480000003333333,0.149,1.043666667,1.02900000033333,2.15800000033333,1.96866666666667,0.00166666666666667,1.84900000033333,0.669333333666667,0,2.010666667,1.85500000033333,1.66000000033333,0.877666667,1.48833333366667,1.04233333366667,0.411888889,1.534666667,0.760666667,2.50600000033333,2.448666667,0.353666667
"A_d5_t1_1",1.376,1.48266666666667,0.899333333333333,1.97366666666667,2.107,1.758,1.032,2.06066666666667,1.943,0.528999999666667,0.322666666666667,1.842,1.13433333333333,2.22333333333333,2.10166666666667,0,2.13366666666667,0.925333333333333,0.204666666666667,2.02466666666667,2.02033333333333,1.713,0.983,1.57566666666667,0.829666666666667,1.82933333333333,1.574,1.222,2.43966666666667,2.43866666666667,0.633333333333333
"A_d5_t1_2",1.58599999966667,1.37066666633333,0.940333333,2.022333333,2.005333333,1.84499999966667,1.102333333,2.07199999966667,2.067333333,0.029,0.322666666333333,1.28266666633333,1.08099999966667,2.174333333,1.860333333,0,2.097333333,1.50066666633333,0.229888888666667,1.94366666633333,2.06599999966667,1.761333333,1.00299999966667,2.223333333,0.883666666333333,0.693333333,1.61899999966667,1.10566666633333,2.592333333,2.571333333,0.611999999666667
"A_d5_t1_3",1.56833333366667,1.80533333333333,0.940333333333333,2.036,2.04,1.81133333333333,0.825666666666667,2.00833333366667,1.849,0.082666667,0.200666666666667,0.919,1.011,2.134666667,1.779,0,1.93566666666667,0.595333333333333,0,2.08833333333333,2.02966666666667,1.763,0.777666666666667,2.23233333366667,0.737666666666667,0.273333333333333,1.554,1.058,2.617,2.70466666666667,0.648333333666667
"A_d5_t1_4",1.541333333,1.43000000033333,0.974666667,1.980666667,2.027666667,2.023666667,0.972666667,1.97299999966667,2.00933333366667,0.117999999666667,0.625333333666667,1.77333333366667,1.09500000033333,2.17599999966667,2.28400000033333,0,1.97533333366667,1.24233333366667,0.234000000333333,2.01733333366667,1.96633333366667,1.626666667,1.26400000033333,2.22199999966667,0.737000000333333,1.35200000033333,1.56900000033333,1.51500000033333,2.39200000033333,2.57300000033333,0.689333333
"A_d5_t30_1",1.235333333,1.68766666633333,1.18266666633333,1.694666667,2.05999999966667,1.94099999966667,0.614444444666667,1.62733333366667,1.28033333366667,0.037777778,0.533444444666667,0.770000000333333,1.21233333366667,2.19099999966667,1.143222222,0.00622222233333333,1.874666667,0.0983333336666667,0.000222222333333333,1.998666667,2.353666667,1.75733333366667,1.33533333366667,1.75333333366667,1.16933333366667,0,1.50566666633333,0.255444444666667,2.46933333366667,2.433666667,0.107000000333333
"A_d5_t30_2",1.323333333,1.723333333,1.052333333,2.081333333,2.09266666633333,1.75999999966667,0.998999999666667,2.04699999966667,2.114333333,0.124333333,0.319999999666667,1.32999999966667,1.27599999966667,2.25366666633333,1.77166666633333,0,1.88466666633333,0.186333333,0.000777777666666667,1.57066666633333,1.93866666633333,1.83899999966667,1.21166666633333,2.15599999966667,1.45199999966667,0.0694444443333333,1.57799999966667,1.05899999966667,2.31966666633333,2.70166666633333,0.624333333
