ID,Soil,Diversity,Time,Rep
A_d1_t15_1,A,1,15,1
A_d1_t15_2,A,1,15,2
A_d1_t15_3,A,1,15,3
A_d1_t15_4,A,1,15,4
A_d1_t15_5,A,1,15,5
A_d1_t1_1,A,1,1,1
A_d1_t1_2,A,1,1,2
A_d1_t1_3,A,1,1,3
A_d1_t1_4,A,1,1,4
A_d1_t1_5,A,1,1,5
A_d1_t30_1,A,1,30,1
A_d1_t30_2,A,1,30,2
A_d1_t30_3,A,1,30,3
A_d1_t30_4,A,1,30,4
A_d1_t30_5,A,1,30,5
A_d1_t5_1,A,1,5,1
A_d1_t5_2,A,1,5,2
A_d1_t5_3,A,1,5,3
A_d1_t5_4,A,1,5,4
A_d1_t5_5,A,1,5,5
A_d3_t15_1,A,3,15,1
A_d3_t15_2,A,3,15,2
A_d3_t15_3,A,3,15,3
A_d3_t15_4,A,3,15,4
A_d3_t15_5,A,3,15,5
A_d3_t1_1,A,3,1,1
A_d3_t1_2,A,3,1,2
A_d3_t1_3,A,3,1,3
A_d3_t1_4,A,3,1,4
A_d3_t1_5,A,3,1,5
A_d3_t30_1,A,3,30,1
A_d3_t30_2,A,3,30,2
A_d3_t30_3,A,3,30,3
A_d3_t30_4,A,3,30,4
A_d3_t30_5,A,3,30,5
A_d3_t5_1,A,3,5,1
A_d3_t5_2,A,3,5,2
A_d3_t5_3,A,3,5,3
A_d3_t5_4,A,3,5,4
A_d3_t5_5,A,3,5,5
A_d5_t15_1,A,5,15,1
A_d5_t15_2,A,5,15,2
A_d5_t15_3,A,5,15,3
A_d5_t15_4,A,5,15,4
A_d5_t15_5,A,5,15,5
A_d5_t1_1,A,5,1,1
A_d5_t1_2,A,5,1,2
A_d5_t1_3,A,5,1,3
A_d5_t1_4,A,5,1,4
A_d5_t1_5,A,5,1,5
A_d5_t30_1,A,5,30,1
A_d5_t30_2,A,5,30,2
A_d5_t30_3,A,5,30,3
A_d5_t30_4,A,5,30,4
A_d5_t30_5,A,5,30,5
A_d5_t5_1,A,5,5,1
A_d5_t5_2,A,5,5,2
A_d5_t5_3,A,5,5,3
A_d5_t5_4,A,5,5,4
A_d5_t5_5,A,5,5,5
AxB_d1_t15_1,AxB,1,15,1
AxB_d1_t15_2,AxB,1,15,2
AxB_d1_t15_3,AxB,1,15,3
AxB_d1_t15_4,AxB,1,15,4
AxB_d1_t15_5,AxB,1,15,5
AxB_d1_t1_1,AxB,1,1,1
AxB_d1_t1_2,AxB,1,1,2
AxB_d1_t1_3,AxB,1,1,3
AxB_d1_t1_4,AxB,1,1,4
AxB_d1_t1_5,AxB,1,1,5
AxB_d1_t30_1,AxB,1,30,1
AxB_d1_t30_2,AxB,1,30,2
AxB_d1_t30_3,AxB,1,30,3
AxB_d1_t30_4,AxB,1,30,4
AxB_d1_t30_5,AxB,1,30,5
AxB_d1_t5_1,AxB,1,5,1
AxB_d1_t5_2,AxB,1,5,2
AxB_d1_t5_3,AxB,1,5,3
AxB_d1_t5_4,AxB,1,5,4
AxB_d1_t5_5,AxB,1,5,5
AxB_d3_t15_1,AxB,3,15,1
AxB_d3_t15_2,AxB,3,15,2
AxB_d3_t15_3,AxB,3,15,3
AxB_d3_t15_4,AxB,3,15,4
AxB_d3_t15_5,AxB,3,15,5
AxB_d3_t1_1,AxB,3,1,1
AxB_d3_t1_2,AxB,3,1,2
AxB_d3_t1_3,AxB,3,1,3
AxB_d3_t1_4,AxB,3,1,4
AxB_d3_t1_5,AxB,3,1,5
AxB_d3_t30_1,AxB,3,30,1
AxB_d3_t30_2,AxB,3,30,2
AxB_d3_t30_3,AxB,3,30,3
AxB_d3_t30_4,AxB,3,30,4
AxB_d3_t30_5,AxB,3,30,5
AxB_d3_t5_1,AxB,3,5,1
AxB_d3_t5_2,AxB,3,5,2
AxB_d3_t5_3,AxB,3,5,3
AxB_d3_t5_4,AxB,3,5,4
AxB_d3_t5_5,AxB,3,5,5
AxB_d5_t15_1,AxB,5,15,1
AxB_d5_t15_2,AxB,5,15,2
AxB_d5_t15_3,AxB,5,15,3
AxB_d5_t15_4,AxB,5,15,4
AxB_d5_t15_5,AxB,5,15,5
AxB_d5_t1_1,AxB,5,1,1
AxB_d5_t1_2,AxB,5,1,2
AxB_d5_t1_3,AxB,5,1,3
AxB_d5_t1_4,AxB,5,1,4
AxB_d5_t1_5,AxB,5,1,5
AxB_d5_t30_1,AxB,5,30,1
AxB_d5_t30_2,AxB,5,30,2
AxB_d5_t30_3,AxB,5,30,3
AxB_d5_t30_4,AxB,5,30,4
AxB_d5_t30_5,AxB,5,30,5
AxB_d5_t5_1,AxB,5,5,1
AxB_d5_t5_2,AxB,5,5,2
AxB_d5_t5_3,AxB,5,5,3
AxB_d5_t5_4,AxB,5,5,4
AxB_d5_t5_5,AxB,5,5,5
AxC_d1_t15_1,AxC,1,15,1
AxC_d1_t15_2,AxC,1,15,2
AxC_d1_t15_3,AxC,1,15,3
AxC_d1_t15_4,AxC,1,15,4
AxC_d1_t15_5,AxC,1,15,5
AxC_d1_t1_1,AxC,1,1,1
AxC_d1_t1_2,AxC,1,1,2
AxC_d1_t1_3,AxC,1,1,3
AxC_d1_t1_4,AxC,1,1,4
AxC_d1_t1_5,AxC,1,1,5
AxC_d1_t30_1,AxC,1,30,1
AxC_d1_t30_2,AxC,1,30,2
AxC_d1_t30_3,AxC,1,30,3
AxC_d1_t30_4,AxC,1,30,4
AxC_d1_t30_5,AxC,1,30,5
AxC_d1_t5_1,AxC,1,5,1
AxC_d1_t5_2,AxC,1,5,2
AxC_d1_t5_3,AxC,1,5,3
AxC_d1_t5_4,AxC,1,5,4
AxC_d1_t5_5,AxC,1,5,5
AxC_d3_t15_1,AxC,3,15,1
AxC_d3_t15_2,AxC,3,15,2
AxC_d3_t15_3,AxC,3,15,3
AxC_d3_t15_4,AxC,3,15,4
AxC_d3_t15_5,AxC,3,15,5
AxC_d3_t1_1,AxC,3,1,1
AxC_d3_t1_2,AxC,3,1,2
AxC_d3_t1_3,AxC,3,1,3
AxC_d3_t1_4,AxC,3,1,4
AxC_d3_t1_5,AxC,3,1,5
AxC_d3_t30_1,AxC,3,30,1
AxC_d3_t30_2,AxC,3,30,2
AxC_d3_t30_3,AxC,3,30,3
AxC_d3_t30_4,AxC,3,30,4
AxC_d3_t30_5,AxC,3,30,5
AxC_d3_t5_1,AxC,3,5,1
AxC_d3_t5_2,AxC,3,5,2
AxC_d3_t5_3,AxC,3,5,3
AxC_d3_t5_4,AxC,3,5,4
AxC_d3_t5_5,AxC,3,5,5
AxC_d5_t15_1,AxC,5,15,1
AxC_d5_t15_2,AxC,5,15,2
AxC_d5_t15_3,AxC,5,15,3
AxC_d5_t15_4,AxC,5,15,4
AxC_d5_t15_5,AxC,5,15,5
AxC_d5_t1_1,AxC,5,1,1
AxC_d5_t1_2,AxC,5,1,2
AxC_d5_t1_3,AxC,5,1,3
AxC_d5_t1_4,AxC,5,1,4
AxC_d5_t1_5,AxC,5,1,5
AxC_d5_t30_1,AxC,5,30,1
AxC_d5_t30_2,AxC,5,30,2
AxC_d5_t30_3,AxC,5,30,3
AxC_d5_t30_4,AxC,5,30,4
AxC_d5_t30_5,AxC,5,30,5
AxC_d5_t5_1,AxC,5,5,1
AxC_d5_t5_2,AxC,5,5,2
AxC_d5_t5_3,AxC,5,5,3
