"","amines_Phenylethylamine","amines_Putrescine","amino-acids_Glycyl-LGlutamicAcid","amino-acids_L-Arginine","amino-acids_L-Asparagine","amino-acids_L-Serine","amino-acids_L-Threonine","amino-acids_LPhenylalanine","amino-acids_gamma-AminoButyricAcid","carbohydrates_Beta-Methyl-DGlucoside","carbohydrates_D,L-alphaGlycerolPhosphate","carbohydrates_D-Cellobiose","carbohydrates_D-GalactonicAcidgamma-Lactone","carbohydrates_D-Mannitol","carbohydrates_D-Xylose","carbohydrates_Glucose-1-Phosphate","carbohydrates_N-Acetyl-DGlucosamine","carbohydrates_alpha-D-Lactose","carbohydrates_i-Erythritol","carboxylicacids_D-MalicAcid","carboxylicacids_DGalacturonicAcid","carboxylicacids_DGlucosaminicAcid","carboxylicacids_ItaconicAcid","carboxylicacids_PyruvicAcidMethylEster","carboxylicacids_alpha-KetoButyricAcid","phenoliccompound_2-HydroxyBenzoicAcid","phenoliccompound_4-HydroxyBenzoicAcid","polymers_Glycogen","polymers_Tween40","polymers_Tween80","polymers_alpha-Cyclodextrin"
"A_d3_t15_1",1.57133333333333,1.00166666666667,0.446333333333333,2.11533333333333,2.084,0.142,2.09533333333333,1.666,1.59866666666667,0.322333333333333,0,0.0926666666666667,0.464666666666667,1.96133333333333,0,0.00833333333333333,0.823333333333333,0.02,0.0103333333333333,0.987,1.82666666666667,0.128333333333333,1.98666666666667,1.825,1.57566666666667,0,1.46866666666667,0.0336666666666667,2.03533333333333,1.774,0.0223333333333333
"A_d3_t15_2",1.78466666666667,1.36466666666667,1.17566666666667,2.54066666666667,2.085,0.295,0.108666666666667,1.75866666666667,2.072,0.000333333333333333,0.0706666666666667,0.047,1.145,2.84833333333333,0.0553333333333333,0.00333333333333333,0.858,0,0.0143333333333333,0.639333333333333,2.593,0.598333333333333,2.05,1.80166666666667,1.27066666666667,0,1.79933333333333,0.02,1.96266666666667,1.62433333333333,0.025
"A_d3_t15_3",1.49033333333333,1.12433333333333,0.715,0.644,2.31433333333333,0.552,1.08333333333333,1.73133333333333,1.44633333333333,0,0,0.097,0.00133333333333333,2.122,0,0.00233333333333333,1.131,0,0.0116666663333333,0.635,1.122,0.153888888666667,2.07599999966667,2.096,1.16666666666667,0,1.66333333333333,0.019,2.26566666666667,1.77366666666667,0.0236666666666667
"A_d3_t15_4",1.29699999966667,1.02388888866667,0.348666666333333,1.40299999966667,1.83566666633333,0.510999999666667,0.810666666333333,1.88799999966667,2.29566666633333,0.00999999966666667,0.00488888866666667,0.156999999666667,0.497333333,1.725222222,0,0,1.587333333,0.0297777776666667,0.0449999996666667,0.565666666333333,2.94266666633333,0.0726666663333333,1.874333333,1.811333333,1.219333333,0,1.98666666633333,0.0219999996666667,2.59599999966667,1.879333333,0
"A_d3_t1_1",1.88433333366667,1.71300000033333,0.522666667,1.93900000033333,2.21633333366667,1.491666667,1.091666667,1.28800000033333,1.55900000033333,0.00322222233333333,0.00411111133333333,0.746000000333333,0.711666667,1.92533333366667,0.611666667,0.0350000003333333,2.142666667,0.150555555666667,0.0190000003333333,1.33833333366667,1.36733333366667,0.0273333336666667,1.58000000033333,1.807666667,1.38700000033333,0,1.031666667,0.0113333336666667,2.351666667,1.87800000033333,0.0364444446666667
"A_d3_t1_2",1.331333333,0.406555555333333,0.510666666333333,0.903222222,2.190333333,0.333666666333333,0.613333333,2.273333333,2.15166666633333,0,0.409888888666667,0.203666666333333,0.600666666333333,2.73666666633333,0.784333333,0.0495555553333333,1.541333333,0.555444444333333,0.022,1.51366666633333,1.59266666633333,1.461333333,1.960333333,2.213333333,1.83599999966667,0,2.14466666633333,0.003222222,2.21399999966667,1.929333333,0.295222222
"A_d3_t1_3",0.885,1.17,0.821,1.11066666666667,2.29333333333333,0.078,1.48966666666667,1.88666666666667,1.822,0.0416666666666667,0.00333333333333333,0.100333333333333,0.992666666666667,1.73166666666667,0.104333333333333,0.0756666666666667,1.26966666666667,0.353333333333333,0.0296666666666667,1.052,1.74166666666667,0.470666666666667,1.36866666666667,1.8,1.36933333333333,0,1.25,0.0153333333333333,2.20533333333333,1.825,0.0896666666666667
"A_d3_t1_4",0.789666666666667,1.17633333333333,0.648333333333333,1.69166666666667,2.411,0.761,1.16,2.42266666666667,1.33566666666667,0.105444444666667,0.00433333333333333,0.286666666666667,0.457,2.21466666666667,0.308666666666667,0.00122222233333333,1.312,0.766333333333333,0.0163333336666667,0.973333333333333,1.583,1.77733333333333,2.157,2.02833333333333,1.14033333333333,0,1.778,0.0193333333333333,2.087,1.772666667,0.0183333333333333
"A_d3_t30_1",1.94766666633333,1.33366666633333,0.213333333,2.128333333,2.224333333,0.560999999666667,1.01566666633333,0.971666666333333,2.54266666633333,0.0698888886666667,0.345666666333333,0.723666666333333,0.879666666333333,1.38399999966667,1.015333333,0,0.984333333,0.0504444446666667,0.083222222,1.521333333,1.49699999966667,0.216222222,1.95600000033333,1.793666667,0.658999999666667,0.0795555553333333,1.85366666633333,0,2.361333333,1.88999999966667,0.0185555553333333
"A_d3_t30_2",2.065666667,1.66500000033333,0.214333333666667,2.20600000033333,2.25900000033333,1.22100000033333,1.061666667,1.553666667,2.614666667,0.0181111113333333,0.475666667,0.735666667,0.303444444666667,2.166666667,0.933333333666667,0,1.00700000033333,0,0,0.795666667,1.35600000033333,0.768111111333333,1.91099999966667,1.66766666633333,0.670333333666667,0,1.895666667,0,2.239666667,2.00800000033333,0.000555555666666667
"A_d3_t30_3",2.030333333,1.56266666666667,0.265,2.321,2.12366666633333,0.490666666333333,0.980999999666667,1.290333333,2.47833333333333,0,0.152555555333333,0.843888888666667,0.222777777666667,1.96066666666667,0.220111111,0,0.402333333,0.0186666666666667,0,0.811333333,1.46366666633333,0.0378888886666667,2.021,1.753,0.833999999666667,0.0978888886666667,1.91166666666667,0,1.72199999966667,1.869,0
"A_d3_t30_4",2.04600000033333,1.51333333366667,0.204333333666667,2.25300000033333,2.36533333333333,1.38633333333333,1.25766666666667,1.157,2.502666667,0.008,0.007,0.979,1.30433333333333,1.98200000033333,0.572,0.0133333333333333,1.86266666666667,0.024666667,0,1.74633333333333,1.54733333333333,2.26333333333333,1.950666667,1.75100000033333,0.85,0.029,1.800666667,0.003888889,1.82033333333333,1.76200000033333,0.016
"A_d3_t5_1",1.80066666633333,1.11366666633333,0.468333333,2.43866666633333,2.21666666633333,0.289999999666667,0.961333333,1.465333333,2.313333333,0.372555555333333,0.00133333333333333,0.957333333,0.504333333,1.82899999966667,0.603666666333333,0.0137777776666667,1.314333333,0.004222222,0.164333333,1.04599999966667,2.070333333,0.0205555553333333,1.66099999966667,1.78499999966667,0.976333333,0,1.211333333,0.020333333,2.09499999966667,1.92999999966667,0.157999999666667
