,amines_Phenylethylamine,amines_Putrescine,amino-acids_Glycyl-LGlutamicAcid,amino-acids_L-Arginine,amino-acids_L-Asparagine,amino-acids_L-Serine,amino-acids_L-Threonine,amino-acids_LPhenylalanine,amino-acids_gamma-AminoButyricAcid,carbohydrates_Beta-Methyl-DGlucoside,"carbohydrates_D,L-alphaGlycerolPhosphate",carbohydrates_D-Cellobiose,carbohydrates_D-GalactonicAcidgamma-Lactone,carbohydrates_D-Mannitol,carbohydrates_D-Xylose,carbohydrates_Glucose-1-Phosphate,carbohydrates_N-Acetyl-DGlucosamine,carbohydrates_alpha-D-Lactose,carbohydrates_i-Erythritol,carboxylicacids_D-MalicAcid,carboxylicacids_DGalacturonicAcid,carboxylicacids_DGlucosaminicAcid,carboxylicacids_ItaconicAcid,carboxylicacids_PyruvicAcidMethylEster,carboxylicacids_alpha-KetoButyricAcid,phenoliccompound_2-HydroxyBenzoicAcid,phenoliccompound_4-HydroxyBenzoicAcid,polymers_Glycogen,polymers_Tween40,polymers_Tween80,polymers_alpha-Cyclodextrin
B_d1_t15_1,1.683666667,1.385,0.035666667,1.048333333,2.362666667,1.986333333,1.71,1.474,0.836666667,1.160333333,0.025333333,1.150333333,0.198,1.442666667,0.902333333,0.202666667,1.709,0.453666667,0.075666667,1.759333333,1.756333333,0.637333333,0.071333333,2.050333333,0.264333333,0.205,1.485333333,0.996,1.833333333,0.849,0.43
B_d1_t15_2,1.432333333,0.850666666,0.023333333,2.182,2.246,0.721333333,1.693333333,2.042666666,1.114666666,0.958333333,0.010111111,1.818666666,0.343333333,1.573333333,0.561,0.029888889,1.74,0.671666666,0.207333333,0.999666666,1.192333333,0.998666666,0.049333333,1.663,0.609333333,0.189333333,0.513666666,1.280666666,2.091666666,1.061,0.61
B_d1_t15_3,0.901666666,0.598666666,0.017222222,0.747,2.299666666,0.976666666,2.053,2.245333334,0.267666666,0.837,0.043666667,0.877,0.226666666,1.895333333,0.484,0.010111111,1.122,0.523333333,0.112333333,1.12,1.275333333,0.157555555,0.064,1.345666666,0.339333333,0.145333333,1.768,1.191333333,1.870666666,0.953,0.749
B_d1_t15_4,2.503333334,0.754333334,0.019,1.940666667,2.499333334,1.613333334,1.845333334,1.995333333,2.143666667,0.928,0.031222222,1.416666667,0.123444445,2.105666667,0.659,0.096444445,0.827333334,0.506666667,0.143777778,1.567666667,1.620333334,1.327,0.064666666,1.751,0.389,0.124666667,1.579333334,1.121666667,2.418,1.251333334,0.262777778
B_d1_t1_1,2.493666667,0.918666667,0.102333334,1.933,2.244,2.130333334,2.497666667,1.721,1.117333334,1.277666667,0.398333334,1.273666667,0.174,1.173,1.168666667,0.029666667,1.246,0.284,0.291666667,1.640333334,1.497666667,1.708,0.208,1.775333334,0.060666667,1.042333334,1.331666667,0.622666667,2.212,1.548333334,0.999666667
B_d1_t1_2,1.428333334,0.256666667,0.135666667,1.346,2.637,0.820666667,1.892666667,2.119666667,1.131,1.070333334,0.262111111,1.908333334,0.343666667,2.454,0.502333334,0.033444445,1.583333334,0.722666667,0.144666667,2.114666667,1.454,1.117111111,0.085666667,1.523333334,0.222333334,0.323333334,1.106,1.064333334,1.987666667,1.441,1.113
B_d1_t1_3,2.509666666,0.873,0.244666666,1.636666666,2.234333333,1.447333333,2.225,1.494333333,1.162666666,0.911,0.338,1.765666666,0.281666666,2.018,0.639333333,0.536666666,2.472666666,0.615666666,0.011444444,2.146,1.031,1.873666666,0.103,1.84,0.273,0.139666666,2.307333333,1.063,2.028,1.994666666,1.091666666
B_d1_t1_4,2.324,0.452,0.202666666,0.945,2.64,1.217,2.001,2.564,1.017,1.204333333,0.596333333,1.885666666,0.155,1.507333333,0.689333333,0.107888889,1.961333333,0.554333333,0.112333333,2.126,1.473666667,1.001333333,0.163666666,1.983666666,0.253333333,1.318333333,1.755666666,1.061666666,1.929333333,1.408666666,1.062666666
B_d1_t30_1,0.848666667,0.242,0.049111111,0.416,1.477,0.638333334,0.919666667,0.294666667,0.330333334,0.841333334,0.446333334,1.303333334,0.207333334,0.846333334,0.473666667,0.016444445,1.650333334,0.481,0.153333334,1.169,0.721666667,0.041111111,0.165333334,0.965666667,0.111444445,0.191333334,0.198,0.371333334,1.877333334,1.089666667,0.272666667
B_d1_t30_2,2.052333333,0.243,0.033333333,0.466666667,2.152666667,0.955666667,0.424333333,0.629333333,0.280333333,0.764333333,0.375,1.585333333,0.219333333,1.978,0.301666667,0.025333333,1.076333333,0.537,0.001666667,1.843666667,0.837333333,0.202333333,0.171666667,1.285333333,0.177,0.076,0.920333333,0.572,2.033,1.147,0.733666667
