"","AG","BG","BX","CBH","LAP","NAG","PHOS","SUL"
"A_d1_T15_1","  0.000000"," 57.855305"," 23.387002"," 27.371460","  1.715860"," 22.284068","214.584826","  3.212087"
"A_d1_T15_2","  0.000000"," 55.669473"," 23.209732"," 34.030962","  1.030552"," 19.961773","238.182545","  3.883448"
"A_d1_T15_3","  1.125107"," 61.801152","  1.779187"," 34.100046"," 16.790154"," 29.475479","269.732846","  2.280156"
"A_d1_T15_4","  0.000000"," 64.712296"," 12.531046"," 41.173563"," 14.192964"," 20.477917","314.089910","  2.841395"
"A_d1_T15_5","  0.000000"," 49.529570","  9.746189"," 32.252670"," 10.713243"," 23.207935","221.712615","  2.947761"
"A_d1_T1_1"," 32.845362"," 52.652924","  0.000000","  0.000000","  2.548643"," 29.730164","238.323507","  1.066993"
"A_d1_T1_2","  1.557143"," 49.100778","  0.000000","  0.000000","  5.422582"," 23.144897","200.687832","  3.825428"
"A_d1_T1_3","  3.545224"," 78.556876","  0.000000","  0.000000"," 10.062805"," 20.035830","196.129281","  2.335166"
"A_d1_T1_4","  0.000000"," 45.341045","  0.000000","  0.000000","  8.217700"," 22.617429","196.389706","  3.247113"
"A_d1_T1_5","  4.694441"," 57.178684","  0.000000","  0.000000","  6.137002"," 26.172234","191.928559","  5.038741"
"A_d1_T30_1"," 43.004718"," 49.778927","  0.000000","  0.000000"," 25.286785"," 29.265728","196.533246","  2.633246"
"A_d1_T30_2","  0.000000"," 51.211233","  0.000000"," 11.939416"," 34.193522"," 20.994380","158.032215","  2.619577"
"A_d1_T30_3","  0.000000"," 71.763894","  0.000000","  0.000000"," 39.335117"," 21.067254","225.169812","  4.432402"
"A_d1_T30_4"," 40.04141"," 61.06615","  0.00000","  0.00000"," 39.85995"," 28.25745","204.47103","  4.90018"
"A_d1_T30_5"," 19.7669886"," 58.2243884","  0.0000000","  0.0000000"," 41.7123268"," 35.0300704","181.9288903","  0.9339528"
"A_d1_T5_1","  3.689788"," 51.883927","  0.000000","  6.994183","  7.328577"," 24.791078","188.925846","  3.149016"
"A_d1_T5_2"," 11.070900"," 54.094805","  0.000000","  6.357239","  4.564653"," 29.304556","198.334723","  5.818111"
"A_d1_T5_3","  0.000000"," 49.080724","  0.000000","  1.503124","  6.069953"," 13.164756","126.301251","  2.502669"
"A_d1_T5_4","  5.898900"," 51.967791","  0.000000","  4.226283","  2.660769"," 23.591219","164.807062","  3.721052"
"A_d1_T5_5","  0.000000"," 46.685898","  0.000000","  0.000000","  4.354441"," 23.511572","157.244237","  5.911348"
"AxB_d1_T15_1","  4.2572491"," 51.1152995"," 12.8644057","  0.3788886"," 23.0584511"," 39.4246137","246.7461268","  4.2299738"
"AxB_d1_T15_2"," 82.579974"," 30.910386"," 20.148868","  1.563468"," 22.327147"," 28.415024","188.032507","  6.170906"
"AxB_d1_T15_3"," 74.908019"," 40.630366"," 32.695715","  9.877731"," 21.835086"," 36.603554","220.842541","  6.627246"
"AxB_d1_T15_4"," 54.176294"," 47.414523"," 21.885660","  0.000000"," 21.935894"," 24.214093","204.444329","  4.843844"
"AxB_d1_T15_5"," 23.919909"," 30.907810"," 26.217529","  5.353447"," 19.988856"," 29.254015","155.877323","  3.682742"
"AxB_d1_T1_1","  9.310813"," 39.752259","  0.000000","  6.751440","  5.162967"," 30.458556","166.182091","  5.901895"
"AxB_d1_T1_2"," 22.506255"," 42.061231","  0.000000","  1.355548","  1.298491"," 36.050575","175.073604","  6.662371"
"AxB_d1_T1_3","  8.7146158"," 47.0907415","  0.0000000","  0.5533281","  0.0000000"," 29.0127801","169.4819379","  5.1888117"
"AxB_d1_T1_4","  0.000000"," 40.689553","  0.000000","  0.000000","  0.000000"," 23.305061","156.709953","  3.105173"
"AxB_d1_T1_5"," 30.249344"," 40.027088","  0.000000","  5.376485","  0.000000"," 38.406251","166.270018","  8.198300"
"AxB_d1_T30_1","  0.000000"," 38.170152","  0.000000"," 13.777005"," 40.282142"," 29.940092","167.687179","  3.332984"
"AxB_d1_T30_2","  0.000000"," 47.474614","  0.000000"," 25.216049"," 33.816328"," 33.583505","180.512469","  5.541543"
"AxB_d1_T30_3","  0.000000"," 50.864256"," 12.833408"," 37.629875"," 36.356252"," 32.051991","180.267370","  3.296094"
"AxB_d1_T30_4","  0.000000"," 43.939140"," 16.518648"," 23.118719"," 35.446982"," 38.321711","164.105297","  4.484374"
"AxB_d1_T30_5","  0.000000"," 45.780110","  3.546533"," 34.683362"," 33.348761"," 29.240837","164.160310","  5.921447"
