"","AG","BG","BX","CBH","LAP","NAG","PHOS","SUL"
"A_d1_T15_1","  0.000000"," 57.855305"," 23.387002"," 27.371460","  1.715860"," 22.284068","214.584826","  3.212087"
"A_d1_T15_2","  0.000000"," 55.669473"," 23.209732"," 34.030962","  1.030552"," 19.961773","238.182545","  3.883448"
"A_d1_T15_3","  1.125107"," 61.801152","  1.779187"," 34.100046"," 16.790154"," 29.475479","269.732846","  2.280156"
"A_d1_T15_4","  0.000000"," 64.712296"," 12.531046"," 41.173563"," 14.192964"," 20.477917","314.089910","  2.841395"
"A_d1_T15_5","  0.000000"," 49.529570","  9.746189"," 32.252670"," 10.713243"," 23.207935","221.712615","  2.947761"
"A_d1_T1_1"," 32.845362"," 52.652924","  0.000000","  0.000000","  2.548643"," 29.730164","238.323507","  1.066993"
"A_d1_T1_2","  1.557143"," 49.100778","  0.000000","  0.000000","  5.422582"," 23.144897","200.687832","  3.825428"
"A_d1_T1_3","  3.545224"," 78.556876","  0.000000","  0.000000"," 10.062805"," 20.035830","196.129281","  2.335166"
"A_d1_T1_4","  0.000000"," 45.341045","  0.000000","  0.000000","  8.217700"," 22.617429","196.389706","  3.247113"
"A_d1_T1_5","  4.694441"," 57.178684","  0.000000","  0.000000","  6.137002"," 26.172234","191.928559","  5.038741"
"A_d1_T30_1"," 43.004718"," 49.778927","  0.000000","  0.000000"," 25.286785"," 29.265728","196.533246","  2.633246"
"A_d1_T30_2","  0.000000"," 51.211233","  0.000000"," 11.939416"," 34.193522"," 20.994380","158.032215","  2.619577"
"A_d1_T30_3","  0.000000"," 71.763894","  0.000000","  0.000000"," 39.335117"," 21.067254","225.169812","  4.432402"
"A_d1_T30_4"," 40.04141"," 61.06615","  0.00000","  0.00000"," 39.85995"," 28.25745","204.47103","  4.90018"
"A_d1_T30_5"," 19.7669886"," 58.2243884","  0.0000000","  0.0000000"," 41.7123268"," 35.0300704","181.9288903","  0.9339528"
"A_d1_T5_1","  3.689788"," 51.883927","  0.000000","  6.994183","  7.328577"," 24.791078","188.925846","  3.149016"
"A_d1_T5_2"," 11.070900"," 54.094805","  0.000000","  6.357239","  4.564653"," 29.304556","198.334723","  5.818111"
"A_d1_T5_3","  0.000000"," 49.080724","  0.000000","  1.503124","  6.069953"," 13.164756","126.301251","  2.502669"
"A_d1_T5_4","  5.898900"," 51.967791","  0.000000","  4.226283","  2.660769"," 23.591219","164.807062","  3.721052"
"A_d1_T5_5","  0.000000"," 46.685898","  0.000000","  0.000000","  4.354441"," 23.511572","157.244237","  5.911348"
"AxC_d1_T15_1"," 93.87381","147.35317"," 18.16902"," 21.03934"," 38.36550"," 95.31404","343.47567"," 12.20904"
"AxC_d1_T15_2","156.27310","172.63757"," 31.99301"," 32.42988","154.61355","124.15605","385.58528"," 12.40341"
"AxC_d1_T15_3","123.46023","167.22676"," 30.01547"," 18.19774","103.00419","108.85084","349.14204"," 12.55803"
"AxC_d1_T15_4","150.12763","175.97565"," 12.64302"," 20.04221"," 75.15378","108.70320","367.03091"," 13.28215"
"AxC_d1_T15_5"," 67.349730","179.830889","  6.878073"," 12.998371"," 53.331268"," 91.514564","373.237072"," 13.128316"
"AxC_d1_T1_1","111.68559","184.06644"," 38.01799"," 44.15381","125.94224","118.19459","318.30416"," 19.88039"
"AxC_d1_T1_2","138.87975","183.72073"," 23.10281"," 27.23767","133.90364","118.53522","333.25475"," 16.45276"
"AxC_d1_T1_3"," 80.637968","202.523056","  9.467262"," 38.010325"," 41.380352","121.549038","325.933477"," 17.577429"
"AxC_d1_T1_4","161.68431","197.30752"," 14.58425"," 62.01489","125.91249","112.25876","320.56902"," 19.23718"
"AxC_d1_T1_5"," 38.59668","178.84078"," 11.33657"," 46.35047"," 29.02668","105.49587","304.35827"," 15.04699"
"AxC_d1_T30_1","198.526056","201.384387","106.465606"," 80.738339","138.102611","107.692650","391.830625","  8.408394"
"AxC_d1_T30_2","184.353395","188.377277"," 80.729917"," 78.544110","192.967128","108.888350","376.471683","  9.910938"
"AxC_d1_T30_3","  0.000000","191.297164","  9.595749"," 42.552098"," 74.081012"," 97.214145","358.372763"," 11.200789"
"AxC_d1_T30_4","  0.000000","222.092780"," 32.294918"," 42.807695"," 56.394658"," 88.406766","394.625641","  9.951866"
"AxC_d1_T30_5"," 45.21309","189.79791"," 42.58718"," 84.67080","115.72702","104.32503","376.11404","  8.19400"
"AxC_d1_T5_1"," 46.62596","189.95739"," 14.44825"," 35.10637"," 61.10637","107.20525","298.06282"," 15.37034"
