,Time,Soil,Values
0,1,A_AxC,0.0
1,1,A_AxC,0.14285714285714285
2,1,A_AxC,0.14285714285714285
3,1,A_AxC,0.14285714285714285
4,1,A_AxC,0.0
5,1,A_AxC,0.0
6,1,A_AxC,0.14285714285714285
7,1,A_AxC,0.14285714285714285
8,1,A_AxC,0.14285714285714285
9,1,A_AxC,0.0
10,1,A_AxC,0.0
11,1,A_AxC,0.14285714285714285
12,1,A_AxC,0.14285714285714285
13,1,A_AxC,0.14285714285714285
14,1,A_AxC,0.0
15,1,A_AxC,0.0
16,1,A_AxC,0.14285714285714285
17,1,A_AxC,0.14285714285714285
18,1,A_AxC,0.14285714285714285
19,1,A_AxC,0.0
20,1,A_AxC,0.0
21,1,A_AxC,0.14285714285714285
22,1,A_AxC,0.14285714285714285
23,1,A_AxC,0.14285714285714285
24,1,A_AxC,0.0
25,1,C_AxC,0.0
26,1,C_AxC,0.14285714285714285
27,1,C_AxC,0.14285714285714285
28,1,C_AxC,0.14285714285714285
29,1,C_AxC,0.0
30,1,C_AxC,0.0
31,1,C_AxC,0.14285714285714285
32,1,C_AxC,0.14285714285714285
33,1,C_AxC,0.14285714285714285
34,1,C_AxC,0.0
35,1,C_AxC,0.14285714285714285
36,1,C_AxC,0.25
37,1,C_AxC,0.25
38,1,C_AxC,0.25
39,1,C_AxC,0.14285714285714285
40,1,C_AxC,0.0
41,1,C_AxC,0.14285714285714285
42,1,C_AxC,0.14285714285714285
43,1,C_AxC,0.14285714285714285
44,1,C_AxC,0.0
45,1,C_AxC,0.2857142857142857
46,1,C_AxC,0.375
47,1,C_AxC,0.375
48,1,C_AxC,0.375
49,1,C_AxC,0.2857142857142857
50,5,A_AxC,0.0
51,5,A_AxC,0.125
52,5,A_AxC,0.0
53,5,A_AxC,0.0
54,5,A_AxC,0.0
55,5,A_AxC,0.0
56,5,A_AxC,0.125
57,5,A_AxC,0.0
58,5,A_AxC,0.0
59,5,A_AxC,0.0
60,5,A_AxC,0.0
61,5,A_AxC,0.125
62,5,A_AxC,0.0
63,5,A_AxC,0.0
64,5,A_AxC,0.0
65,5,A_AxC,0.0
66,5,A_AxC,0.125
67,5,A_AxC,0.0
68,5,A_AxC,0.0
69,5,A_AxC,0.0
70,5,A_AxC,0.0
71,5,A_AxC,0.125
72,5,A_AxC,0.0
73,5,A_AxC,0.0
74,5,A_AxC,0.0
75,5,C_AxC,0.125
76,5,C_AxC,0.25
77,5,C_AxC,0.125
78,5,C_AxC,0.125
79,5,C_AxC,0.125
80,5,C_AxC,0.25
81,5,C_AxC,0.14285714285714285
82,5,C_AxC,0.25
83,5,C_AxC,0.25
84,5,C_AxC,0.25
85,5,C_AxC,0.125
86,5,C_AxC,0.25
87,5,C_AxC,0.125
88,5,C_AxC,0.125
89,5,C_AxC,0.125
90,5,C_AxC,0.125
91,5,C_AxC,0.25
92,5,C_AxC,0.125
93,5,C_AxC,0.125
94,5,C_AxC,0.125
95,5,C_AxC,0.125
96,5,C_AxC,0.25
97,5,C_AxC,0.125
98,5,C_AxC,0.125
99,5,C_AxC,0.125
