"","AG","BG","BX","CBH","LAP","NAG","PHOS","SUL"
"B_d3_T15_1","  0.000000"," 47.469417"," 47.708229","  4.202529"," 14.328550","  0.000000","140.137199","  7.090355"
"B_d3_T15_2"," 27.564376"," 29.337141"," 59.158018","  0.000000"," 15.703452","  0.000000","123.496106","  5.604831"
"B_d3_T15_3","  9.146824"," 33.197955"," 68.162041","  1.393922"," 11.908566","  0.000000","137.091361","  7.183600"
"B_d3_T15_4","  0.000000"," 41.803758"," 47.158280","  5.968705"," 18.779713","  0.000000","127.064956","  8.026071"
"B_d3_T15_5","  0.000000"," 36.910019"," 47.414035","  0.000000"," 14.102094","  0.000000","148.475636","  6.649611"
"B_d3_T1_1"," 59.878716"," 28.402969"," 36.230656","  9.111922"," 29.669331"," 37.405329","190.795102"," 13.203922"
"B_d3_T1_2"," 60.98971"," 32.64890"," 38.53736"," 29.01873"," 28.47695"," 47.36050","196.17486"," 12.84463"
"B_d3_T1_3","108.96891"," 33.86509"," 51.08645"," 21.85486"," 45.44103"," 49.87933","199.89655"," 14.09228"
"B_d3_T1_4"," 71.25378"," 44.31936"," 56.33135"," 39.70933"," 32.12384"," 53.45774","183.28044"," 12.59865"
"B_d3_T1_5","125.53061"," 28.47056"," 53.76496"," 42.39109"," 28.89708"," 59.87541","218.26057"," 12.14569"
"B_d3_T30_1"," 48.964900"," 40.464426","  2.369238","  0.000000"," 30.458839","  0.000000","101.672626","  5.345591"
"B_d3_T30_2"," 64.927066"," 32.673698","  0.000000","  0.000000"," 29.018485","  0.000000","102.087416","  4.826115"
"B_d3_T30_3","31.188373","25.053489"," 0.000000"," 0.000000","29.085753"," 0.000000","96.248023"," 5.981917"
"B_d3_T30_4"," 42.682338"," 34.510494","  0.000000","  0.000000"," 23.810312","  0.000000","109.802376","  6.107844"
"B_d3_T30_5","75.157399","29.355705"," 0.000000"," 0.000000","29.278448"," 0.000000","96.443534"," 5.716225"
"B_d3_T5_1"," 49.932008"," 40.643239"," 42.984001"," 22.857779"," 23.564624"," 48.357094","131.335350","  9.805008"
"B_d3_T5_2"," 51.57853"," 40.92154"," 47.48741"," 15.71346"," 42.13937"," 40.56885","150.29512","  8.67516"
"B_d3_T5_3"," 97.170916"," 56.157070"," 43.746501"," 22.742359"," 33.343222"," 41.297386","133.031110","  9.644546"
"B_d3_T5_4","141.92550"," 39.51957"," 66.92065"," 36.25779"," 35.71535"," 46.75049","141.60204"," 12.40579"
"B_d3_T5_5","128.550904"," 31.144824"," 40.870491"," 16.670112"," 41.620718"," 37.869217","134.284390","  9.842508"
"BxC_d3_T15_1"," 37.93294","193.35557"," 36.28237","  7.70753","130.95683","  0.00000","423.69371"," 14.90299"
"BxC_d3_T15_2","  0.00000","188.13649"," 51.90860","  0.00000"," 53.05607","  0.00000","367.37816"," 11.72266"
"BxC_d3_T15_3"," 75.749553","178.155922"," 77.631007","  5.320256","156.513481","  0.000000","403.277390"," 13.634309"
"BxC_d3_T15_4"," 38.601568","197.594793"," 70.117346","  1.943203","154.744621","  0.000000","387.921221"," 16.731358"
"BxC_d3_T15_5"," 86.341076","181.985763"," 34.310388","  5.650805"," 83.879934","  0.000000","345.608408"," 13.592886"
"BxC_d3_T1_1","210.50984","119.34091"," 57.84987"," 38.04239"," 93.84242"," 99.15462","197.27178"," 16.07705"
"BxC_d3_T1_2","294.59221","117.56914","105.76546"," 50.72356","174.97651"," 98.25521","242.75414","  0.00000"
"BxC_d3_T1_3","232.77765","184.22479"," 93.34686"," 64.25294","102.61102","142.78698","351.87590"," 22.90851"
"BxC_d3_T1_4","164.43462","192.39570"," 85.77384"," 33.93737"," 81.77050","158.58218","361.69070"," 18.27810"
"BxC_d3_T1_5","238.08394","174.66170"," 44.64169"," 45.48377"," 99.54214","123.81921","318.63381"," 45.66494"
"BxC_d3_T30_1","  0.000000","160.001065","  0.000000","  7.316984"," 83.670588","  0.000000","300.671855","  8.259859"
"BxC_d3_T30_2"," 62.891454","140.236551","  0.000000","  0.000000","111.823517","  0.000000","313.394285","  9.633041"
"BxC_d3_T30_3","  2.689739","170.042419"," 15.895086","  7.435212","101.099503","  0.000000","286.755421"," 13.579900"
"BxC_d3_T30_4"," 50.043897","167.610413"," 18.764492"," 10.258872"," 50.115671","  0.000000","256.590092","  6.327767"
"BxC_d3_T30_5"," 94.84327","166.43776"," 11.95796"," 13.67024","143.93315","  0.00000","355.84237"," 11.87293"
"BxC_d3_T5_1","146.70980","112.57883"," 36.43111"," 14.87611"," 82.55385"," 79.22582","213.41753"," 12.90011"
"BxC_d3_T5_2","200.051084","202.263312"," 46.560419","  7.867022","241.802966","170.694756","384.767201"," 20.207664"
"BxC_d3_T5_3","251.35488","162.76079"," 65.10620"," 33.96020","190.57949","107.94761","313.56778"," 17.79325"
"BxC_d3_T5_4","168.290051","139.563421"," 21.501924","  1.725712"," 94.480676","102.351277","264.389411"," 14.889763"
"BxC_d3_T5_5","246.73454","158.46509"," 52.33318"," 18.79683","132.40218","116.88367","308.80440"," 17.52046"
"BxC_d3_T5_6","329.65287","133.83694"," 65.59105"," 53.03951","163.49496"," 53.04238","270.06705"," 13.97098"
"C_d3_T15_1"," 26.342957","129.160425"," 12.946968","  1.717598"," 73.832257","  0.000000","348.085204"," 13.645745"
"C_d3_T15_2"," 29.49151","174.28841"," 22.16739","  0.00000","122.03963","  0.00000","289.41921"," 10.96991"
"C_d3_T15_3"," 52.21093","193.82471"," 33.34575","  0.00000"," 97.94913","  0.00000","399.36450"," 14.13156"
"C_d3_T15_4"," 48.13841","197.79173"," 21.72500","  0.00000"," 74.94096","  0.00000","371.75480"," 15.04781"
"C_d3_T15_5"," 26.92902","139.88129"," 27.77882","  0.00000"," 84.94776","  0.00000","260.11587"," 11.85245"
"C_d3_T1_1","225.70529","196.17491"," 84.81138"," 58.79577"," 90.68915","113.33053","321.14609"," 18.32667"
"C_d3_T1_2","255.02223","246.35652"," 87.88966"," 55.39948","106.58940","135.83483","409.23447"," 19.63145"
"C_d3_T1_3","373.80203","251.14442","122.99379","118.18494","304.50562","193.12581","481.76045"," 31.88306"
"C_d3_T1_4","192.74984","176.87525"," 73.53332"," 50.67045","111.60634","110.31446","319.91119"," 21.47756"
"C_d3_T1_5","294.39721","218.78563","108.69601"," 98.06058","292.74652","185.47830","480.33554"," 24.23334"
"C_d3_T1_6","325.52622","236.52163","118.88744"," 75.67596","309.72249","161.15729","463.87109"," 24.19521"
"C_d3_T30_1"," 56.253420","235.148319","  6.588004","  0.000000","138.285289","  0.000000","374.612200"," 19.409945"
"C_d3_T30_2","100.60454","190.00634","  0.00000","  0.00000"," 83.29609","  0.00000","346.23374"," 13.02833"
"C_d3_T30_3"," 29.15578","228.57529","  0.00000","  0.00000"," 85.25899","  0.00000","390.86794"," 12.48186"
"C_d3_T30_4","157.14799","204.42753","  0.00000","  0.00000","167.63889","  0.00000","437.64289"," 15.63119"
"C_d3_T30_5","139.3007141","234.3817445"," 15.3016871","  0.1367454","198.1518402","  0.0000000","488.2948622"," 14.8498155"
"C_d3_T5_1","370.48770","221.50749","123.14854"," 51.37528","300.07603","180.67208","428.45086"," 22.05380"
"C_d3_T5_2","223.85838","234.51393"," 69.76901"," 33.97277","144.97776","205.23654","516.44592"," 23.19953"
"C_d3_T5_3","346.75595","243.31851","119.84222"," 91.94220","314.57872","152.20062","518.89230"," 19.64882"
"C_d3_T5_4","150.00986","228.37488"," 57.22225"," 52.08932","125.93621","155.46669","442.17152"," 23.39113"
"C_d3_T5_5","178.41839","208.49716"," 53.18880"," 40.13067","141.45350","146.05080","406.69037"," 20.08030"
