,Time,Soil,Values
0,1,A_AxB,14921.0
1,1,A_AxB,14050.0
2,1,A_AxB,16099.0
3,1,A_AxB,14108.0
4,1,A_AxB,14470.0
5,1,A_AxB,14921.0
6,1,A_AxB,15201.0
7,1,A_AxB,14342.0
8,1,A_AxB,16133.0
9,1,A_AxB,14358.0
10,1,A_AxB,14550.0
11,1,A_AxB,15285.0
12,1,A_AxB,14918.0
13,1,A_AxB,14093.0
14,1,A_AxB,15932.0
15,1,A_AxB,14057.0
16,1,A_AxB,14241.0
17,1,A_AxB,14944.0
18,1,A_AxB,15045.0
19,1,A_AxB,14304.0
20,1,A_AxB,16059.0
21,1,A_AxB,14306.0
22,1,A_AxB,14318.0
23,1,A_AxB,15079.0
24,1,A_AxB,15058.0
25,1,A_AxB,14033.0
26,1,A_AxB,15994.0
27,1,A_AxB,14027.0
28,1,A_AxB,14257.0
29,1,A_AxB,14958.0
30,1,A_AxB,15358.0
31,1,A_AxB,14617.0
32,1,A_AxB,16410.0
33,1,A_AxB,14515.0
34,1,A_AxB,14729.0
35,1,A_AxB,15432.0
36,1,B_AxB,14747.0
37,1,B_AxB,15860.0
38,1,B_AxB,13427.0
39,1,B_AxB,15560.0
40,1,B_AxB,15328.0
41,1,B_AxB,14497.0
42,1,B_AxB,14377.0
43,1,B_AxB,15674.0
44,1,B_AxB,13155.0
45,1,B_AxB,15288.0
46,1,B_AxB,15028.0
47,1,B_AxB,14249.0
48,1,B_AxB,14865.0
49,1,B_AxB,15952.0
50,1,B_AxB,13537.0
51,1,B_AxB,15666.0
52,1,B_AxB,15382.0
53,1,B_AxB,14575.0
54,1,B_AxB,14479.0
55,1,B_AxB,15692.0
56,1,B_AxB,13349.0
57,1,B_AxB,15264.0
58,1,B_AxB,15106.0
59,1,B_AxB,14225.0
60,1,B_AxB,14518.0
61,1,B_AxB,15719.0
62,1,B_AxB,13204.0
63,1,B_AxB,15311.0
64,1,B_AxB,15019.0
65,1,B_AxB,14140.0
66,1,B_AxB,14351.0
67,1,B_AxB,15668.0
68,1,B_AxB,13301.0
69,1,B_AxB,15284.0
70,1,B_AxB,15046.0
71,1,B_AxB,14137.0
72,5,A_AxB,14406.0
73,5,A_AxB,14456.0
74,5,A_AxB,13335.0
75,5,A_AxB,13232.0
76,5,A_AxB,11724.0
77,5,A_AxB,11631.0
78,5,A_AxB,14675.0
79,5,A_AxB,14575.0
80,5,A_AxB,13660.0
81,5,A_AxB,13691.0
82,5,A_AxB,11895.0
83,5,A_AxB,12204.0
84,5,A_AxB,14583.0
85,5,A_AxB,14653.0
86,5,A_AxB,13604.0
87,5,A_AxB,13555.0
88,5,A_AxB,11699.0
89,5,A_AxB,11968.0
90,5,A_AxB,15000.0
91,5,A_AxB,14596.0
92,5,A_AxB,13887.0
93,5,A_AxB,13568.0
94,5,A_AxB,11686.0
95,5,A_AxB,11915.0
96,5,A_AxB,15405.0
97,5,A_AxB,14829.0
98,5,A_AxB,14594.0
99,5,A_AxB,13977.0
100,5,A_AxB,12111.0
101,5,A_AxB,12268.0
102,5,A_AxB,14671.0
103,5,A_AxB,14749.0
104,5,A_AxB,13618.0
105,5,A_AxB,13553.0
106,5,A_AxB,11663.0
107,5,A_AxB,11836.0
108,5,B_AxB,16213.0
109,5,B_AxB,15261.0
110,5,B_AxB,17160.0
111,5,B_AxB,16909.0
112,5,B_AxB,18101.0
113,5,B_AxB,18064.0
114,5,B_AxB,16200.0
115,5,B_AxB,14996.0
116,5,B_AxB,17097.0
117,5,B_AxB,16764.0
118,5,B_AxB,17930.0
119,5,B_AxB,17969.0
120,5,B_AxB,16025.0
121,5,B_AxB,15165.0
122,5,B_AxB,16946.0
123,5,B_AxB,16689.0
124,5,B_AxB,17861.0
125,5,B_AxB,17936.0
126,5,B_AxB,15984.0
127,5,B_AxB,14934.0
128,5,B_AxB,16839.0
129,5,B_AxB,16526.0
