,Time,Soil,Values
0,1,A_AxC,25611.0
1,1,A_AxC,26413.0
2,1,A_AxC,24562.0
3,1,A_AxC,24130.0
4,1,A_AxC,25507.0
5,1,A_AxC,26315.0
6,1,A_AxC,24494.0
7,1,A_AxC,24028.0
8,1,A_AxC,25488.0
9,1,A_AxC,26358.0
10,1,A_AxC,24449.0
11,1,A_AxC,23967.0
12,1,A_AxC,25637.0
13,1,A_AxC,26385.0
14,1,A_AxC,24492.0
15,1,A_AxC,24124.0
16,1,A_AxC,25572.0
17,1,A_AxC,26414.0
18,1,A_AxC,24553.0
19,1,A_AxC,24049.0
20,1,A_AxC,25522.0
21,1,A_AxC,26350.0
22,1,A_AxC,24555.0
23,1,A_AxC,24023.0
24,1,C_AxC,9194.0
25,1,C_AxC,8138.0
26,1,C_AxC,11889.0
27,1,C_AxC,10495.0
28,1,C_AxC,9097.0
29,1,C_AxC,8389.0
30,1,C_AxC,11552.0
31,1,C_AxC,10900.0
32,1,C_AxC,12310.0
33,1,C_AxC,10566.0
34,1,C_AxC,13649.0
35,1,C_AxC,12415.0
36,1,C_AxC,8471.0
37,1,C_AxC,7609.0
38,1,C_AxC,10176.0
39,1,C_AxC,10118.0
40,1,C_AxC,11471.0
41,1,C_AxC,11839.0
42,1,C_AxC,14158.0
43,1,C_AxC,12812.0
44,1,C_AxC,13784.0
45,1,C_AxC,13796.0
46,1,C_AxC,13781.0
47,1,C_AxC,13835.0
48,5,A_AxC,22741.0
49,5,A_AxC,26178.0
50,5,A_AxC,22757.0
51,5,A_AxC,23635.0
52,5,A_AxC,24627.0
53,5,A_AxC,20701.0
54,5,A_AxC,22944.0
55,5,A_AxC,26363.0
56,5,A_AxC,22898.0
57,5,A_AxC,23812.0
58,5,A_AxC,24788.0
59,5,A_AxC,20980.0
60,5,A_AxC,22870.0
61,5,A_AxC,26299.0
62,5,A_AxC,22832.0
63,5,A_AxC,23782.0
64,5,A_AxC,24752.0
65,5,A_AxC,20816.0
66,5,A_AxC,23017.0
67,5,A_AxC,26342.0
68,5,A_AxC,22845.0
69,5,A_AxC,23837.0
70,5,A_AxC,24741.0
71,5,A_AxC,21009.0
72,5,A_AxC,22792.0
73,5,A_AxC,26233.0
74,5,A_AxC,22796.0
75,5,A_AxC,23654.0
76,5,A_AxC,24622.0
77,5,A_AxC,20962.0
78,5,A_AxC,22882.0
79,5,A_AxC,26303.0
80,5,A_AxC,22882.0
81,5,A_AxC,23762.0
82,5,A_AxC,24680.0
83,5,A_AxC,20826.0
84,5,C_AxC,10812.0
85,5,C_AxC,10077.0
86,5,C_AxC,15030.0
87,5,C_AxC,7768.0
88,5,C_AxC,10344.0
89,5,C_AxC,10134.0
90,5,C_AxC,9746.0
91,5,C_AxC,9793.0
92,5,C_AxC,13986.0
93,5,C_AxC,8134.0
94,5,C_AxC,10426.0
95,5,C_AxC,9724.0
96,5,C_AxC,10312.0
97,5,C_AxC,9157.0
98,5,C_AxC,14592.0
99,5,C_AxC,7930.0
100,5,C_AxC,10022.0
101,5,C_AxC,9740.0
102,5,C_AxC,9785.0
103,5,C_AxC,9260.0
104,5,C_AxC,14437.0
105,5,C_AxC,7457.0
106,5,C_AxC,10273.0
107,5,C_AxC,9929.0
108,5,C_AxC,10722.0
109,5,C_AxC,9511.0
110,5,C_AxC,15320.0
111,5,C_AxC,8276.0
112,5,C_AxC,9924.0
113,5,C_AxC,10258.0
114,5,C_AxC,10990.0
115,5,C_AxC,10817.0
116,5,C_AxC,15266.0
117,5,C_AxC,9026.0
118,5,C_AxC,10044.0
119,5,C_AxC,10378.0
120,15,A_AxC,20475.0
121,15,A_AxC,25349.0
122,15,A_AxC,22540.0
123,15,A_AxC,23632.0
124,15,A_AxC,26468.0
125,15,A_AxC,20860.0
126,15,A_AxC,25524.0
127,15,A_AxC,22883.0
128,15,A_AxC,23805.0
129,15,A_AxC,26559.0
130,15,A_AxC,21410.0
131,15,A_AxC,25620.0
132,15,A_AxC,22903.0
133,15,A_AxC,24109.0
134,15,A_AxC,26791.0
135,15,A_AxC,21626.0
136,15,A_AxC,25276.0
137,15,A_AxC,22653.0
138,15,A_AxC,23579.0
139,15,A_AxC,26429.0
140,15,A_AxC,21151.0
141,15,A_AxC,25181.0
142,15,A_AxC,22504.0
143,15,A_AxC,23530.0
144,15,A_AxC,26330.0
145,15,A_AxC,21618.0
146,15,A_AxC,25336.0
147,15,A_AxC,22679.0
148,15,A_AxC,23753.0
149,15,A_AxC,26557.0
150,15,C_AxC,12126.0
151,15,C_AxC,13646.0
152,15,C_AxC,11669.0
153,15,C_AxC,13831.0
154,15,C_AxC,15691.0
155,15,C_AxC,10613.0
156,15,C_AxC,11605.0
157,15,C_AxC,9094.0
158,15,C_AxC,11430.0
159,15,C_AxC,14252.0
160,15,C_AxC,10280.0
161,15,C_AxC,11316.0
162,15,C_AxC,9419.0
163,15,C_AxC,11965.0
164,15,C_AxC,14569.0
165,15,C_AxC,10264.0
166,15,C_AxC,12168.0
167,15,C_AxC,9565.0
168,15,C_AxC,11219.0
169,15,C_AxC,14713.0
170,15,C_AxC,9578.0
171,15,C_AxC,11394.0
172,15,C_AxC,9087.0
173,15,C_AxC,11365.0
174,15,C_AxC,14457.0
175,15,C_AxC,10278.0
176,15,C_AxC,10808.0
177,15,C_AxC,9301.0
178,15,C_AxC,10735.0
179,15,C_AxC,15217.0
180,30,A_AxC,19390.0
181,30,A_AxC,22005.0
182,30,A_AxC,24424.0
183,30,A_AxC,23801.0
184,30,A_AxC,23919.0
185,30,A_AxC,18874.0
186,30,A_AxC,21679.0
187,30,A_AxC,24202.0
188,30,A_AxC,23593.0
189,30,A_AxC,23565.0
190,30,A_AxC,18463.0
191,30,A_AxC,21460.0
192,30,A_AxC,24075.0
193,30,A_AxC,23374.0
194,30,A_AxC,23328.0
195,30,A_AxC,19451.0
196,30,A_AxC,22088.0
197,30,A_AxC,24509.0
198,30,A_AxC,23972.0
199,30,A_AxC,23996.0
200,30,A_AxC,19453.0
201,30,A_AxC,21986.0
202,30,A_AxC,24345.0
203,30,A_AxC,23924.0
204,30,A_AxC,23896.0
205,30,A_AxC,19806.0
206,30,A_AxC,22391.0
207,30,A_AxC,24714.0
208,30,A_AxC,24273.0
209,30,A_AxC,24223.0
210,30,C_AxC,14208.0
211,30,C_AxC,11973.0
212,30,C_AxC,10634.0
213,30,C_AxC,11867.0
214,30,C_AxC,11005.0
215,30,C_AxC,13014.0
216,30,C_AxC,10187.0
217,30,C_AxC,9688.0
218,30,C_AxC,10609.0
219,30,C_AxC,9849.0
220,30,C_AxC,13516.0
221,30,C_AxC,10613.0
222,30,C_AxC,9880.0
223,30,C_AxC,11445.0
224,30,C_AxC,9927.0
225,30,C_AxC,13208.0
226,30,C_AxC,10149.0
227,30,C_AxC,8992.0
228,30,C_AxC,11001.0
229,30,C_AxC,8807.0
230,30,C_AxC,11735.0
231,30,C_AxC,10200.0
232,30,C_AxC,9697.0
233,30,C_AxC,11654.0
234,30,C_AxC,10070.0
235,30,C_AxC,14458.0
236,30,C_AxC,11901.0
237,30,C_AxC,9800.0
238,30,C_AxC,11201.0
239,30,C_AxC,10521.0
