,Time,Soil,Values
0,1,A_AxB,21450.0
1,1,A_AxB,23204.0
2,1,A_AxB,19726.0
3,1,A_AxB,17692.0
4,1,A_AxB,18181.0
5,1,A_AxB,17605.0
6,1,A_AxB,21118.0
7,1,A_AxB,22880.0
8,1,A_AxB,19458.0
9,1,A_AxB,17420.0
10,1,A_AxB,17747.0
11,1,A_AxB,17331.0
12,1,A_AxB,21371.0
13,1,A_AxB,23119.0
14,1,A_AxB,19533.0
15,1,A_AxB,17577.0
16,1,A_AxB,18018.0
17,1,A_AxB,17586.0
18,1,A_AxB,21523.0
19,1,A_AxB,23255.0
20,1,A_AxB,19663.0
21,1,A_AxB,17745.0
22,1,A_AxB,18046.0
23,1,A_AxB,17874.0
24,1,A_AxB,21420.0
25,1,A_AxB,23124.0
26,1,A_AxB,19544.0
27,1,A_AxB,17720.0
28,1,A_AxB,18331.0
29,1,A_AxB,17875.0
30,1,A_AxB,21719.0
31,1,A_AxB,23495.0
32,1,A_AxB,19937.0
33,1,A_AxB,18007.0
34,1,A_AxB,18696.0
35,1,A_AxB,18340.0
36,1,B_AxB,10326.0
37,1,B_AxB,8842.0
38,1,B_AxB,11932.0
39,1,B_AxB,13308.0
40,1,B_AxB,12327.0
41,1,B_AxB,12613.0
42,1,B_AxB,9722.0
43,1,B_AxB,7950.0
44,1,B_AxB,11038.0
45,1,B_AxB,12634.0
46,1,B_AxB,11997.0
47,1,B_AxB,11959.0
48,1,B_AxB,9814.0
49,1,B_AxB,8270.0
50,1,B_AxB,11230.0
51,1,B_AxB,12888.0
52,1,B_AxB,12123.0
53,1,B_AxB,12263.0
54,1,B_AxB,9875.0
55,1,B_AxB,7955.0
56,1,B_AxB,11191.0
57,1,B_AxB,12845.0
58,1,B_AxB,11592.0
59,1,B_AxB,12256.0
60,1,B_AxB,10011.0
61,1,B_AxB,8227.0
62,1,B_AxB,11245.0
63,1,B_AxB,12833.0
64,1,B_AxB,11722.0
65,1,B_AxB,12226.0
66,1,B_AxB,9266.0
67,1,B_AxB,7638.0
68,1,B_AxB,10754.0
69,1,B_AxB,12424.0
70,1,B_AxB,11375.0
71,1,B_AxB,11999.0
72,5,A_AxB,19997.0
73,5,A_AxB,17900.0
74,5,A_AxB,18509.0
75,5,A_AxB,17852.0
76,5,A_AxB,18775.0
77,5,A_AxB,25942.0
78,5,A_AxB,19860.0
79,5,A_AxB,18103.0
80,5,A_AxB,18314.0
81,5,A_AxB,17601.0
82,5,A_AxB,18662.0
83,5,A_AxB,25869.0
84,5,A_AxB,20103.0
85,5,A_AxB,18328.0
86,5,A_AxB,18975.0
87,5,A_AxB,18244.0
88,5,A_AxB,19077.0
89,5,A_AxB,26120.0
90,5,A_AxB,19931.0
91,5,A_AxB,18258.0
92,5,A_AxB,18701.0
93,5,A_AxB,17994.0
94,5,A_AxB,18841.0
95,5,A_AxB,26008.0
96,5,A_AxB,20021.0
97,5,A_AxB,18198.0
98,5,A_AxB,18401.0
99,5,A_AxB,17354.0
100,5,A_AxB,18797.0
101,5,A_AxB,25928.0
102,5,A_AxB,20042.0
103,5,A_AxB,18185.0
104,5,A_AxB,18464.0
105,5,A_AxB,17655.0
106,5,A_AxB,18886.0
107,5,A_AxB,25983.0
108,5,B_AxB,10120.0
109,5,B_AxB,11979.0
110,5,B_AxB,11568.0
111,5,B_AxB,13381.0
112,5,B_AxB,11388.0
113,5,B_AxB,5613.0
114,5,B_AxB,10368.0
115,5,B_AxB,12111.0
