,Time,Soil,Values
0,1,A_AxC,22839.0
1,1,A_AxC,23027.0
2,1,A_AxC,20867.0
3,1,A_AxC,23267.0
4,1,A_AxC,25608.0
5,1,A_AxC,23376.0
6,1,A_AxC,22892.0
7,1,A_AxC,23024.0
8,1,A_AxC,20936.0
9,1,A_AxC,23318.0
10,1,A_AxC,25683.0
11,1,A_AxC,23443.0
12,1,A_AxC,22710.0
13,1,A_AxC,22992.0
14,1,A_AxC,20808.0
15,1,A_AxC,23210.0
16,1,A_AxC,25473.0
17,1,A_AxC,23277.0
18,1,A_AxC,22897.0
19,1,A_AxC,22991.0
20,1,A_AxC,20793.0
21,1,A_AxC,23229.0
22,1,A_AxC,25564.0
23,1,A_AxC,23334.0
24,1,A_AxC,23014.0
25,1,A_AxC,23136.0
26,1,A_AxC,20932.0
27,1,A_AxC,23310.0
28,1,A_AxC,25659.0
29,1,A_AxC,23425.0
30,1,A_AxC,22985.0
31,1,A_AxC,23133.0
32,1,A_AxC,21013.0
33,1,A_AxC,23415.0
34,1,A_AxC,25604.0
35,1,A_AxC,23450.0
36,1,C_AxC,9058.0
37,1,C_AxC,8984.0
38,1,C_AxC,9698.0
39,1,C_AxC,8804.0
40,1,C_AxC,14395.0
41,1,C_AxC,8949.0
42,1,C_AxC,12773.0
43,1,C_AxC,11917.0
44,1,C_AxC,13531.0
45,1,C_AxC,12213.0
46,1,C_AxC,14150.0
47,1,C_AxC,13070.0
48,1,C_AxC,9009.0
49,1,C_AxC,8419.0
50,1,C_AxC,9999.0
51,1,C_AxC,7899.0
52,1,C_AxC,14326.0
53,1,C_AxC,10478.0
54,1,C_AxC,8796.0
55,1,C_AxC,9206.0
56,1,C_AxC,10148.0
57,1,C_AxC,8886.0
58,1,C_AxC,14877.0
59,1,C_AxC,10351.0
60,1,C_AxC,10305.0
61,1,C_AxC,10143.0
62,1,C_AxC,11633.0
63,1,C_AxC,9053.0
64,1,C_AxC,14230.0
65,1,C_AxC,11256.0
66,1,C_AxC,8063.0
67,1,C_AxC,8133.0
68,1,C_AxC,9435.0
69,1,C_AxC,7401.0
70,1,C_AxC,14162.0
71,1,C_AxC,9688.0
72,5,A_AxC,24920.0
73,5,A_AxC,24271.0
74,5,A_AxC,22956.0
75,5,A_AxC,21316.0
76,5,A_AxC,23710.0
77,5,A_AxC,23451.0
78,5,A_AxC,25075.0
79,5,A_AxC,24366.0
80,5,A_AxC,23273.0
81,5,A_AxC,21821.0
82,5,A_AxC,23987.0
83,5,A_AxC,23644.0
84,5,A_AxC,24900.0
85,5,A_AxC,24109.0
86,5,A_AxC,23004.0
87,5,A_AxC,21444.0
88,5,A_AxC,23674.0
89,5,A_AxC,23387.0
90,5,A_AxC,24945.0
91,5,A_AxC,24208.0
92,5,A_AxC,23151.0
93,5,A_AxC,21497.0
94,5,A_AxC,23857.0
95,5,A_AxC,23560.0
96,5,A_AxC,24928.0
97,5,A_AxC,24283.0
98,5,A_AxC,23046.0
99,5,A_AxC,21430.0
100,5,A_AxC,23856.0
101,5,A_AxC,23503.0
102,5,A_AxC,24936.0
103,5,A_AxC,24159.0
104,5,A_AxC,23094.0
105,5,A_AxC,21368.0
106,5,A_AxC,23718.0
107,5,A_AxC,23517.0
108,5,C_AxC,7536.0
109,5,C_AxC,12403.0
110,5,C_AxC,9426.0
111,5,C_AxC,8234.0
112,5,C_AxC,7678.0
113,5,C_AxC,7759.0
114,5,C_AxC,9574.0
115,5,C_AxC,12799.0
116,5,C_AxC,10134.0
117,5,C_AxC,10574.0
118,5,C_AxC,9022.0
119,5,C_AxC,9291.0
120,5,C_AxC,8456.0
121,5,C_AxC,12451.0
122,5,C_AxC,9928.0
123,5,C_AxC,9886.0
124,5,C_AxC,8628.0
125,5,C_AxC,8549.0
126,5,C_AxC,10718.0
127,5,C_AxC,12853.0
128,5,C_AxC,11768.0
129,5,C_AxC,12214.0
130,5,C_AxC,10458.0
131,5,C_AxC,10091.0
132,5,C_AxC,10082.0
133,5,C_AxC,13427.0
134,5,C_AxC,11328.0
135,5,C_AxC,11064.0
136,5,C_AxC,9532.0
137,5,C_AxC,9495.0
138,5,C_AxC,8176.0
139,5,C_AxC,12617.0
140,5,C_AxC,9628.0
141,5,C_AxC,9346.0
142,5,C_AxC,8536.0
143,5,C_AxC,8429.0
144,15,A_AxC,23663.0
145,15,A_AxC,24671.0
146,15,A_AxC,23653.0
147,15,A_AxC,23097.0
148,15,A_AxC,22450.0
149,15,A_AxC,21256.0
150,15,A_AxC,23754.0
151,15,A_AxC,24774.0
152,15,A_AxC,23860.0
153,15,A_AxC,23072.0
154,15,A_AxC,22623.0
155,15,A_AxC,21363.0
156,15,A_AxC,23825.0
157,15,A_AxC,24769.0
158,15,A_AxC,23773.0
159,15,A_AxC,23077.0
160,15,A_AxC,22578.0
161,15,A_AxC,21350.0
162,15,A_AxC,24055.0
163,15,A_AxC,24501.0
164,15,A_AxC,23679.0
165,15,A_AxC,23691.0
166,15,A_AxC,22638.0
167,15,A_AxC,21642.0
168,15,A_AxC,23659.0
169,15,A_AxC,24685.0
170,15,A_AxC,23615.0
171,15,A_AxC,23091.0
172,15,A_AxC,22426.0
173,15,A_AxC,21274.0
174,15,A_AxC,23725.0
175,15,A_AxC,24667.0
176,15,A_AxC,23763.0
177,15,A_AxC,23321.0
178,15,A_AxC,22502.0
179,15,A_AxC,21454.0
180,15,C_AxC,7939.0
181,15,C_AxC,11639.0
182,15,C_AxC,8131.0
183,15,C_AxC,9969.0
184,15,C_AxC,9142.0
185,15,C_AxC,9734.0
186,15,C_AxC,8462.0
187,15,C_AxC,10810.0
188,15,C_AxC,8750.0
189,15,C_AxC,9832.0
190,15,C_AxC,9473.0
191,15,C_AxC,9389.0
192,15,C_AxC,7722.0
193,15,C_AxC,11784.0
194,15,C_AxC,7706.0
195,15,C_AxC,8136.0
196,15,C_AxC,9263.0
197,15,C_AxC,9089.0
198,15,C_AxC,11251.0
199,15,C_AxC,11613.0
200,15,C_AxC,10633.0
201,15,C_AxC,12039.0
202,15,C_AxC,11250.0
203,15,C_AxC,12178.0
204,15,C_AxC,8978.0
205,15,C_AxC,10704.0
206,15,C_AxC,9212.0
207,15,C_AxC,10194.0
208,15,C_AxC,9825.0
209,15,C_AxC,10557.0
210,15,C_AxC,6407.0
211,15,C_AxC,11279.0
212,15,C_AxC,6639.0
213,15,C_AxC,7305.0
214,15,C_AxC,7880.0
215,15,C_AxC,8184.0
216,30,A_AxC,23319.0
217,30,A_AxC,21777.0
218,30,A_AxC,24416.0
219,30,A_AxC,22712.0
220,30,A_AxC,22533.0
221,30,A_AxC,23177.0
222,30,A_AxC,23358.0
223,30,A_AxC,21854.0
224,30,A_AxC,24523.0
225,30,A_AxC,22897.0
226,30,A_AxC,22628.0
227,30,A_AxC,23282.0
228,30,A_AxC,23209.0
229,30,A_AxC,21687.0
230,30,A_AxC,24290.0
231,30,A_AxC,22810.0
232,30,A_AxC,22431.0
233,30,A_AxC,23087.0
234,30,A_AxC,23076.0
235,30,A_AxC,21608.0
236,30,A_AxC,24183.0
237,30,A_AxC,22621.0
238,30,A_AxC,22314.0
239,30,A_AxC,22914.0
240,30,A_AxC,23640.0
241,30,A_AxC,22208.0
242,30,A_AxC,24625.0
243,30,A_AxC,23143.0
244,30,A_AxC,22742.0
245,30,A_AxC,23350.0
246,30,A_AxC,24765.0
247,30,A_AxC,23459.0
248,30,A_AxC,25110.0
249,30,A_AxC,24464.0
250,30,A_AxC,23825.0
251,30,A_AxC,24003.0
252,30,C_AxC,8319.0
253,30,C_AxC,9221.0
254,30,C_AxC,8692.0
255,30,C_AxC,8886.0
256,30,C_AxC,9799.0
257,30,C_AxC,8219.0
258,30,C_AxC,8005.0
259,30,C_AxC,8261.0
260,30,C_AxC,9004.0
261,30,C_AxC,8728.0
262,30,C_AxC,9633.0
263,30,C_AxC,7163.0
264,30,C_AxC,8058.0
265,30,C_AxC,8442.0
266,30,C_AxC,8935.0
267,30,C_AxC,8289.0
268,30,C_AxC,9738.0
269,30,C_AxC,7424.0
270,30,C_AxC,7871.0
271,30,C_AxC,8789.0
272,30,C_AxC,8442.0
273,30,C_AxC,9008.0
274,30,C_AxC,9957.0
275,30,C_AxC,7181.0
276,30,C_AxC,8088.0
277,30,C_AxC,8564.0
278,30,C_AxC,8361.0
279,30,C_AxC,8299.0
280,30,C_AxC,10124.0
281,30,C_AxC,7522.0
282,30,C_AxC,10341.0
283,30,C_AxC,10737.0
284,30,C_AxC,11184.0
285,30,C_AxC,10670.0
286,30,C_AxC,11225.0
287,30,C_AxC,10819.0
