"";"ID";"Soil";"Diversity";"Time";"Rep"
"A10-1T15R1";"A10-1T15R1";"A";"1";"T15";"R1"
"A10-1T15R2";"A10-1T15R2";"A";"1";"T15";"R2"
"A10-1T15R3";"A10-1T15R3";"A";"1";"T15";"R3"
"A10-1T15R4";"A10-1T15R4";"A";"1";"T15";"R4"
"A10-1T15R5";"A10-1T15R5";"A";"1";"T15";"R5"
"A10-1T15R6";"A10-1T15R6";"A";"1";"T15";"R6"
"A10-1T1R1";"A10-1T1R1";"A";"1";"T1";"R1"
"A10-1T1R2";"A10-1T1R2";"A";"1";"T1";"R2"
"A10-1T1R3";"A10-1T1R3";"A";"1";"T1";"R3"
"A10-1T1R4";"A10-1T1R4";"A";"1";"T1";"R4"
"A10-1T1R5";"A10-1T1R5";"A";"1";"T1";"R5"
"A10-1T1R6";"A10-1T1R6";"A";"1";"T1";"R6"
"A10-1T30R1";"A10-1T30R1";"A";"1";"T30";"R1"
"A10-1T30R2";"A10-1T30R2";"A";"1";"T30";"R2"
"A10-1T30R3";"A10-1T30R3";"A";"1";"T30";"R3"
"A10-1T30R4";"A10-1T30R4";"A";"1";"T30";"R4"
"A10-1T30R5";"A10-1T30R5";"A";"1";"T30";"R5"
"A10-1T30R6";"A10-1T30R6";"A";"1";"T30";"R6"
"A10-1T5R1";"A10-1T5R1";"A";"1";"T5";"R1"
"A10-1T5R2";"A10-1T5R2";"A";"1";"T5";"R2"
"A10-1T5R3";"A10-1T5R3";"A";"1";"T5";"R3"
"A10-1T5R4";"A10-1T5R4";"A";"1";"T5";"R4"
"A10-1T5R5";"A10-1T5R5";"A";"1";"T5";"R5"
"A10-1T5R6";"A10-1T5R6";"A";"1";"T5";"R6"
"A10-3T15R1";"A10-3T15R1";"A";"3";"T15";"R1"
"A10-3T15R2";"A10-3T15R2";"A";"3";"T15";"R2"
"A10-3T15R3";"A10-3T15R3";"A";"3";"T15";"R3"
"A10-3T15R4";"A10-3T15R4";"A";"3";"T15";"R4"
"A10-3T15R5";"A10-3T15R5";"A";"3";"T15";"R5"
"A10-3T15R6";"A10-3T15R6";"A";"3";"T15";"R6"
"A10-3T1R1";"A10-3T1R1";"A";"3";"T1";"R1"
"A10-3T1R2";"A10-3T1R2";"A";"3";"T1";"R2"
"A10-3T1R3";"A10-3T1R3";"A";"3";"T1";"R3"
"A10-3T1R4";"A10-3T1R4";"A";"3";"T1";"R4"
"A10-3T1R5";"A10-3T1R5";"A";"3";"T1";"R5"
"A10-3T1R6";"A10-3T1R6";"A";"3";"T1";"R6"
"A10-3T30R1";"A10-3T30R1";"A";"3";"T30";"R1"
"A10-3T30R2";"A10-3T30R2";"A";"3";"T30";"R2"
"A10-3T30R3";"A10-3T30R3";"A";"3";"T30";"R3"
"A10-3T30R4";"A10-3T30R4";"A";"3";"T30";"R4"
"A10-3T30R5";"A10-3T30R5";"A";"3";"T30";"R5"
"A10-3T30R6";"A10-3T30R6";"A";"3";"T30";"R6"
"A10-3T5R1";"A10-3T5R1";"A";"3";"T5";"R1"
"A10-3T5R2";"A10-3T5R2";"A";"3";"T5";"R2"
"A10-3T5R3";"A10-3T5R3";"A";"3";"T5";"R3"
"A10-3T5R4";"A10-3T5R4";"A";"3";"T5";"R4"
"A10-3T5R5";"A10-3T5R5";"A";"3";"T5";"R5"
"A10-3T5R6";"A10-3T5R6";"A";"3";"T5";"R6"
"A10-5T15R1";"A10-5T15R1";"A";"5";"T15";"R1"
"A10-5T15R2";"A10-5T15R2";"A";"5";"T15";"R2"
"A10-5T15R3";"A10-5T15R3";"A";"5";"T15";"R3"
"A10-5T15R4";"A10-5T15R4";"A";"5";"T15";"R4"
"A10-5T15R5";"A10-5T15R5";"A";"5";"T15";"R5"
"A10-5T15R6";"A10-5T15R6";"A";"5";"T15";"R6"
"A10-5T1R1";"A10-5T1R1";"A";"5";"T1";"R1"
"A10-5T1R2";"A10-5T1R2";"A";"5";"T1";"R2"
"A10-5T1R3";"A10-5T1R3";"A";"5";"T1";"R3"
"A10-5T1R4";"A10-5T1R4";"A";"5";"T1";"R4"
"A10-5T1R5";"A10-5T1R5";"A";"5";"T1";"R5"
"A10-5T1R6";"A10-5T1R6";"A";"5";"T1";"R6"
"A10-5T30R1";"A10-5T30R1";"A";"5";"T30";"R1"
"A10-5T30R2";"A10-5T30R2";"A";"5";"T30";"R2"
"A10-5T30R3";"A10-5T30R3";"A";"5";"T30";"R3"
"A10-5T30R4";"A10-5T30R4";"A";"5";"T30";"R4"
"A10-5T30R5";"A10-5T30R5";"A";"5";"T30";"R5"
"A10-5T30R6";"A10-5T30R6";"A";"5";"T30";"R6"
"A10-5T5R1";"A10-5T5R1";"A";"5";"T5";"R1"
"A10-5T5R2";"A10-5T5R2";"A";"5";"T5";"R2"
"A10-5T5R3";"A10-5T5R3";"A";"5";"T5";"R3"
"A10-5T5R4";"A10-5T5R4";"A";"5";"T5";"R4"
"A10-5T5R5";"A10-5T5R5";"A";"5";"T5";"R5"
"A10-5T5R6";"A10-5T5R6";"A";"5";"T5";"R6"
"AxB-1T15R1";"AxB-1T15R1";"AxB";"1";"T15";"R1"
"AxB-1T15R2";"AxB-1T15R2";"AxB";"1";"T15";"R2"
"AxB-1T15R3";"AxB-1T15R3";"AxB";"1";"T15";"R3"
"AxB-1T15R4";"AxB-1T15R4";"AxB";"1";"T15";"R4"
"AxB-1T15R5";"AxB-1T15R5";"AxB";"1";"T15";"R5"
"AxB-1T15R6";"AxB-1T15R6";"AxB";"1";"T15";"R6"
"AxB-1T1R1";"AxB-1T1R1";"AxB";"1";"T1";"R1"
"AxB-1T1R2";"AxB-1T1R2";"AxB";"1";"T1";"R2"
"AxB-1T1R3";"AxB-1T1R3";"AxB";"1";"T1";"R3"
"AxB-1T1R4";"AxB-1T1R4";"AxB";"1";"T1";"R4"
"AxB-1T1R5";"AxB-1T1R5";"AxB";"1";"T1";"R5"
"AxB-1T1R6";"AxB-1T1R6";"AxB";"1";"T1";"R6"
"AxB-1T30R1";"AxB-1T30R1";"AxB";"1";"T30";"R1"
"AxB-1T30R2";"AxB-1T30R2";"AxB";"1";"T30";"R2"
"AxB-1T30R3";"AxB-1T30R3";"AxB";"1";"T30";"R3"
"AxB-1T30R4";"AxB-1T30R4";"AxB";"1";"T30";"R4"
"AxB-1T30R5";"AxB-1T30R5";"AxB";"1";"T30";"R5"
"AxB-1T30R6";"AxB-1T30R6";"AxB";"1";"T30";"R6"
"AxB-1T5R1";"AxB-1T5R1";"AxB";"1";"T5";"R1"
"AxB-1T5R2";"AxB-1T5R2";"AxB";"1";"T5";"R2"
"AxB-1T5R3";"AxB-1T5R3";"AxB";"1";"T5";"R3"
"AxB-1T5R4";"AxB-1T5R4";"AxB";"1";"T5";"R4"
"AxB-1T5R5";"AxB-1T5R5";"AxB";"1";"T5";"R5"
"AxB-1T5R6";"AxB-1T5R6";"AxB";"1";"T5";"R6"
"AxB-3T15R1";"AxB-3T15R1";"AxB";"3";"T15";"R1"
"AxB-3T15R2";"AxB-3T15R2";"AxB";"3";"T15";"R2"
"AxB-3T15R3";"AxB-3T15R3";"AxB";"3";"T15";"R3"
"AxB-3T15R4";"AxB-3T15R4";"AxB";"3";"T15";"R4"
"AxB-3T15R5";"AxB-3T15R5";"AxB";"3";"T15";"R5"
"AxB-3T15R6";"AxB-3T15R6";"AxB";"3";"T15";"R6"
"AxB-3T1R1";"AxB-3T1R1";"AxB";"3";"T1";"R1"
"AxB-3T1R2";"AxB-3T1R2";"AxB";"3";"T1";"R2"
"AxB-3T1R3";"AxB-3T1R3";"AxB";"3";"T1";"R3"
"AxB-3T1R4";"AxB-3T1R4";"AxB";"3";"T1";"R4"
"AxB-3T1R5";"AxB-3T1R5";"AxB";"3";"T1";"R5"
"AxB-3T1R6";"AxB-3T1R6";"AxB";"3";"T1";"R6"
"AxB-3T30R1";"AxB-3T30R1";"AxB";"3";"T30";"R1"
"AxB-3T30R2";"AxB-3T30R2";"AxB";"3";"T30";"R2"
"AxB-3T30R3";"AxB-3T30R3";"AxB";"3";"T30";"R3"
"AxB-3T30R4";"AxB-3T30R4";"AxB";"3";"T30";"R4"
"AxB-3T30R5";"AxB-3T30R5";"AxB";"3";"T30";"R5"
"AxB-3T30R6";"AxB-3T30R6";"AxB";"3";"T30";"R6"
"AxB-3T5R1";"AxB-3T5R1";"AxB";"3";"T5";"R1"
"AxB-3T5R2";"AxB-3T5R2";"AxB";"3";"T5";"R2"
"AxB-3T5R3";"AxB-3T5R3";"AxB";"3";"T5";"R3"
"AxB-3T5R4";"AxB-3T5R4";"AxB";"3";"T5";"R4"
"AxB-3T5R5";"AxB-3T5R5";"AxB";"3";"T5";"R5"
"AxB-3T5R6";"AxB-3T5R6";"AxB";"3";"T5";"R6"
"AxB-5T15R1";"AxB-5T15R1";"AxB";"5";"T15";"R1"
"AxB-5T15R2";"AxB-5T15R2";"AxB";"5";"T15";"R2"
"AxB-5T15R3";"AxB-5T15R3";"AxB";"5";"T15";"R3"
"AxB-5T15R4";"AxB-5T15R4";"AxB";"5";"T15";"R4"
"AxB-5T15R5";"AxB-5T15R5";"AxB";"5";"T15";"R5"
"AxB-5T15R6";"AxB-5T15R6";"AxB";"5";"T15";"R6"
"AxB-5T1R1";"AxB-5T1R1";"AxB";"5";"T1";"R1"
"AxB-5T1R2";"AxB-5T1R2";"AxB";"5";"T1";"R2"
"AxB-5T1R3";"AxB-5T1R3";"AxB";"5";"T1";"R3"
"AxB-5T1R4";"AxB-5T1R4";"AxB";"5";"T1";"R4"
"AxB-5T1R5";"AxB-5T1R5";"AxB";"5";"T1";"R5"
"AxB-5T1R6";"AxB-5T1R6";"AxB";"5";"T1";"R6"
"AxB-5T30R1";"AxB-5T30R1";"AxB";"5";"T30";"R1"
"AxB-5T30R2";"AxB-5T30R2";"AxB";"5";"T30";"R2"
"AxB-5T30R3";"AxB-5T30R3";"AxB";"5";"T30";"R3"
"AxB-5T30R4";"AxB-5T30R4";"AxB";"5";"T30";"R4"
"AxB-5T30R5";"AxB-5T30R5";"AxB";"5";"T30";"R5"
"AxB-5T30R6";"AxB-5T30R6";"AxB";"5";"T30";"R6"
"AxB-5T5R1";"AxB-5T5R1";"AxB";"5";"T5";"R1"
"AxB-5T5R2";"AxB-5T5R2";"AxB";"5";"T5";"R2"
"AxB-5T5R3";"AxB-5T5R3";"AxB";"5";"T5";"R3"
"AxB-5T5R4";"AxB-5T5R4";"AxB";"5";"T5";"R4"
"AxB-5T5R5";"AxB-5T5R5";"AxB";"5";"T5";"R5"
"AxB-5T5R6";"AxB-5T5R6";"AxB";"5";"T5";"R6"
"AxC-1T15R1";"AxC-1T15R1";"AxC";"1";"T15";"R1"
"AxC-1T15R2";"AxC-1T15R2";"AxC";"1";"T15";"R2"
"AxC-1T15R3";"AxC-1T15R3";"AxC";"1";"T15";"R3"
"AxC-1T15R4";"AxC-1T15R4";"AxC";"1";"T15";"R4"
"AxC-1T15R5";"AxC-1T15R5";"AxC";"1";"T15";"R5"
"AxC-1T15R6";"AxC-1T15R6";"AxC";"1";"T15";"R6"
"AxC-1T1R1";"AxC-1T1R1";"AxC";"1";"T1";"R1"
"AxC-1T1R2";"AxC-1T1R2";"AxC";"1";"T1";"R2"
"AxC-1T1R3";"AxC-1T1R3";"AxC";"1";"T1";"R3"
"AxC-1T1R4";"AxC-1T1R4";"AxC";"1";"T1";"R4"
"AxC-1T1R5";"AxC-1T1R5";"AxC";"1";"T1";"R5"
"AxC-1T1R6";"AxC-1T1R6";"AxC";"1";"T1";"R6"
"AxC-1T30R1";"AxC-1T30R1";"AxC";"1";"T30";"R1"
"AxC-1T30R2";"AxC-1T30R2";"AxC";"1";"T30";"R2"
